
黑龙江移动,#genre#
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.67.108/PLTV/88888888/224/3221226119/1.m3u8
CCTV1,http://tvpull.careryun.com/tv/cctv1.m3u8
CCTV2,http://39.134.67.108/PLTV/88888888/224/3221225599/1.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226540/index.m3u8
CCTV2,http://tvpull.careryun.com/tv/cctv2.m3u8
CCTV3,http://39.134.67.108/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://tvpull.careryun.com/tv/cctv3.m3u8
CCTV4,http://39.134.67.108/PLTV/88888888/224/3221225797/1.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226007/index.m3u8
CCTV4,http://tvpull.careryun.com/tv/cctv4.m3u8
CCTV5,http://39.134.67.108/PLTV/88888888/224/3221225818/1.m3u8
CCTV5,http://tvpull.careryun.com/tv/cctv5.m3u8
CCTV5+,http://39.134.67.108/PLTV/88888888/224/3221225507/1.m3u8
CCTV5+,http://tvpull.careryun.com/tv/cctv5+.m3u8
CCTV6,http://39.134.67.108/PLTV/88888888/224/3221225814/1.m3u8
CCTV6,http://tvpull.careryun.com/tv/cctv6.m3u8
CCTV7,http://39.134.67.108/PLTV/88888888/224/3221225671/1.m3u8
CCTV7,http://tvpull.careryun.com/tv/cctv7.m3u8
CCTV8,http://39.134.67.108/PLTV/88888888/224/3221225795/1.m3u8
CCTV8,http://tvpull.careryun.com/tv/cctv8.m3u8
CCTV9,http://39.134.67.108/PLTV/88888888/224/3221225676/1.m3u8
CCTV9,http://tvpull.careryun.com/tv/cctv9.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221225677/1.m3u8
CCTV10,http://39.134.67.108/PLTV/88888888/224/3221226128/1.m3u8
CCTV10,http://39.134.66.110/PLTV/88888888/224/3221225677/index.m3u8
CCTV10,http://tvpull.careryun.com/tv/cctv10.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221225517/1.m3u8
CCTV11,http://39.134.67.108/PLTV/88888888/224/3221226123/1.m3u8
CCTV11,http://tvpull.careryun.com/tv/cctv11.m3u8
CCTV12,http://39.134.67.108/PLTV/88888888/224/3221225669/1.m3u8
CCTV12,http://tvpull.careryun.com/tv/cctv12.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221225812/1.m3u8
CCTV13,http://39.134.67.108/PLTV/88888888/224/3221226125/1.m3u8
CCTV13,http://tvpull.careryun.com/tv/cctv13.m3u8
CCTV14,http://39.134.67.108/PLTV/88888888/224/3221225674/1.m3u8
CCTV14,http://tvpull.careryun.com/tv/cctv14.m3u8
CCTV15,http://39.134.67.108/PLTV/88888888/224/3221225513/1.m3u8
CCTV15,http://tvpull.careryun.com/tv/cctv15.m3u8
CCTV16,http://39.134.67.108/PLTV/88888888/224/3221225893/1.m3u8
CCTV17,http://39.134.67.108/PLTV/88888888/224/3221225708/1.m3u8
CCTV17,http://tvpull.careryun.com/tv/cctv17.m3u8
CGTN纪录,http://39.134.67.108/PLTV/88888888/224/3221225509/1.m3u8
CGTN,http://39.134.67.108/PLTV/88888888/224/3221225510/1.m3u8
CETV1,http://39.134.67.108/PLTV/88888888/224/3221225563/1.m3u8
CETV4,http://39.134.67.108/PLTV/88888888/224/3221225750/1.m3u8
咪咕视频,http://39.134.67.108/PLTV/88888888/224/3221225895/1.m3u8
咪咕视频,http://39.134.67.108/PLTV/88888888/224/3221226027/1.m3u8
咪咕体育,http://39.134.67.108/PLTV/88888888/224/3221225897/1.m3u8
咪咕体育,http://39.134.67.108/PLTV/88888888/224/3221226031/1.m3u8
安徽卫视,http://39.134.67.108/PLTV/88888888/224/3221225923/1.m3u8
安徽卫视,http://tvpull.careryun.com/tv/ahws.m3u8
北京卫视,http://39.134.67.108/PLTV/88888888/224/3221225927/1.m3u8
北京卫视,http://tvpull.careryun.com/tv/cn_bjws.m3u8
东方卫视,http://39.134.67.108/PLTV/88888888/224/3221225960/1.m3u8
东方卫视,http://tvpull.careryun.com/tv/dfws.m3u8
广东卫视,http://39.134.67.108/PLTV/88888888/224/3221225962/1.m3u8
广东卫视,http://tvpull.careryun.com/tv/gdws.m3u8
河北卫视,http://39.134.67.108/PLTV/88888888/224/3221225991/1.m3u8
河北卫视,http://tvpull.careryun.com/tv/cn_hbws.m3u8
江苏卫视,http://39.134.67.108/PLTV/88888888/224/3221225929/1.m3u8
江苏卫视,http://tvpull.careryun.com/tv/jsws.m3u8
江西卫视,http://39.134.67.108/PLTV/88888888/224/3221225995/1.m3u8
江西卫视,http://tvpull.careryun.com/tv/jxws.m3u8
辽宁卫视,http://39.134.67.108/PLTV/88888888/224/3221225944/1.m3u8
辽宁卫视,http://tvpull.careryun.com/tv/cn_lnws.m3u8
青海卫视,http://39.134.67.108/PLTV/88888888/224/3221225948/1.m3u8
青海卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225628/index.m3u8
青海卫视,http://stream.qhbtv.com/qhws/sd/live.m3u8
青海卫视,http://tvpull.careryun.com/tv/qhws.m3u8
陕西卫视,http://39.134.67.108/PLTV/88888888/224/3221225989/1.m3u8
陕西卫视,http://tvpull.careryun.com/tv/sxws.m3u8
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225943/1.m3u8
深圳卫视,http://39.134.67.108/PLTV/88888888/224/3221225997/1.m3u8
深圳卫视,http://tvpull.careryun.com/tv/cn_szws.m3u8
新疆卫视,http://39.134.67.108/PLTV/88888888/224/3221225999/1.m3u8
新疆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225635/index.m3u8
新疆卫视,http://tvpull.careryun.com/tv/cn_xjws.m3u8
云南卫视,http://39.134.67.108/PLTV/88888888/224/3221225957/1.m3u8
兵团卫视,http://39.134.67.108/PLTV/88888888/224/3221226005/1.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
兵团卫视,http://tvpull.careryun.com/tv/cn_btws.m3u8
东南卫视,http://39.134.67.108/PLTV/88888888/224/3221226038/1.m3u8
东南卫视,http://tvpull.careryun.com/tv/cn_dnws.m3u8
贵州卫视,http://39.134.67.108/PLTV/88888888/224/3221226030/1.m3u8
贵州卫视,http://tvpull.careryun.com/tv/cn_gzws.m3u8
河南卫视,http://39.134.67.108/PLTV/88888888/224/3221226023/1.m3u8
河南卫视,http://tvpull.careryun.com/tv/cn_hnws.m3u8
黑龙江卫视,http://39.134.67.108/PLTV/88888888/224/3221226006/1.m3u8
黑龙江卫视,http://tvpull.careryun.com/tv/cn_hljws.m3u8
湖北卫视,http://39.134.67.108/PLTV/88888888/224/3221226015/1.m3u8
湖北卫视,http://tvpull.careryun.com/tv/hbws.m3u8
湖南卫视,http://39.134.67.108/PLTV/88888888/224/3221226000/1.m3u8
湖南卫视,http://tvpull.careryun.com/tv/cn_hunws.m3u8
内蒙古卫视,http://39.134.67.108/PLTV/88888888/224/3221226017/1.m3u8
宁夏卫视,http://39.134.67.108/PLTV/88888888/224/3221226028/1.m3u8
山东卫视,http://39.134.67.108/PLTV/88888888/224/3221226034/1.m3u8
山东卫视,http://tvpull.careryun.com/tv/cn_sdws.m3u8
四川卫视,http://39.134.67.108/PLTV/88888888/224/3221226014/1.m3u8
四川卫视,http://tvpull.careryun.com/tv/cn_ahws.m3u8
天津卫视,http://39.134.67.108/PLTV/88888888/224/3221226003/1.m3u8
天津卫视,http://tvpull.careryun.com/tv/cn_tjws.m3u8
延边卫视,http://39.134.67.108/PLTV/88888888/224/3221226040/1.m3u8
重庆卫视,http://39.134.67.108/PLTV/88888888/224/3221226001/1.m3u8
重庆卫视,http://tvpull.careryun.com/tv/cn_cqws.m3u8
黑龙江文体,http://39.134.67.108/PLTV/88888888/224/3221226012/1.m3u8
黑龙江文体,http://39.134.67.108/PLTV/88888888/224/3221225965/1.m3u8
黑龙江都市,http://39.134.67.108/PLTV/88888888/224/3221225969/1.m3u8
黑龙江都市,http://39.134.67.108/PLTV/88888888/224/3221225990/1.m3u8
黑龙江农业科教,http://39.134.67.108/PLTV/88888888/224/3221225994/1.m3u8
黑龙江农业科教,http://39.134.67.108/PLTV/88888888/224/3221225998/1.m3u8
黑龙江少儿,http://39.134.67.108/PLTV/88888888/224/3221225979/1.m3u8
黑龙江新闻法治,http://39.134.67.108/PLTV/88888888/224/3221225967/1.m3u8
黑龙江新闻法治,http://39.134.67.108/PLTV/88888888/224/3221225992/1.m3u8
黑龙江影视,http://39.134.67.108/PLTV/88888888/224/3221225973/1.m3u8
睛彩竞技,http://39.134.67.108/PLTV/88888888/224/3221226046/1.m3u8
新闻综合,http://39.134.67.108/PLTV/88888888/224/3221226062/1.m3u8
新闻综合,http://39.134.67.108/PLTV/88888888/224/3221225993/1.m3u8
山西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225624/index.m3u8
大湾区卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226442/index.m3u8
康巴卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225660/index.m3u8
山东教育卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225655/index.m3u8
安多卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225659/index.m3u8
哈哈炫动,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225657/index.m3u8
优漫卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225656/index.m3u8
金鹰卡通,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225653/index.m3u8
CCTV4美洲,http://tvpull.careryun.com/tv/cctv4m.m3u8
CCTV4欧洲,http://tvpull.careryun.com/tv/cctv4o.m3u8
浙江卫视,http://tvpull.careryun.com/tv/cn_zjws.m3u8
海南卫视,http://tvpull.careryun.com/tv/hainws.m3u8
广西卫视,http://tvpull.careryun.com/tv/cn_gxws.m3u8
吉林卫视,http://tvpull.careryun.com/tv/jlws.m3u8
甘肃卫视,http://tvpull.careryun.com/tv/cn_gsws.m3u8
ITV全套,#genre#
CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-17,http://goo.bkpcp.top/mg/cctv17
辽宁卫视,http://goo.bkpcp.top/mg/lnws
广东卫视,http://goo.bkpcp.top/mg/gdws
广东卫视,https://www.freetv.top/migu/608831231.m3u8?migutoken=f0ba6c9971a62155649207e3011606f3bf2b57d49e7d79b9e8097646811ce33ff02d10a6c0af1ecd80330683ab2037dc0a366528300962d88388a4c1f175e151b684aa01f35babd49cc44c34a9
浙江卫视,http://goo.bkpcp.top/mg/zjws
河南卫视,http://goo.bkpcp.top/mg/hnws
河南卫视,https://www.freetv.top/migu/790187291.m3u8?migutoken=1a1adcd27771412dc90a72060d30c9daa788f22380553fdb9556e18a1e312ab8aa6661248e4f7a39a345ce6072cfaf62343f4f4c7933516a4762d5d341b49d2deab1995ed0ed2b8b95cb0e58ec
吉林卫视,http://goo.bkpcp.top/mg/jlws
陕西卫视,http://goo.bkpcp.top/mg/sxws
陕西卫视,https://www.freetv.top/migu/738910838.m3u8?migutoken=4c168ee755d05a116f57f0a3e3439584312c1b58107cd83db6d8c09083887beb2507165e8bcd3527742480d41db74d5e04d45ee5b48cf579becd0b6b969838bc4251d262b88f750a19ef98cc59
海峡卫视,http://goo.bkpcp.top/mg/hxws
海峡卫视,https://www.freetv.top/migu/849119120.m3u8?migutoken=59a324508737cc0bed1e0907ae585576cce468ceb4f2899ca0fe252b8d6d80dd3a065f3687554ba552806de5492b38d629b9a85221aa527d7d705c329d57d274370d0ddd007188cbfdfd9c499d
宁夏卫视,http://goo.bkpcp.top/mg/nxws
云南卫视,http://goo.bkpcp.top/mg/ynws
东方卫视,http://goo.bkpcp.top/mg/dfws
东方卫视,https://www.freetv.top/migu/651632648.m3u8?migutoken=6ec6af8191d36b925d27fd52756ca7253f27d75d42a14e3e6cd9511f7110bbd6b4554ff82495866e3d0f6cf2d7148363f25ff85d9dd5103717d7326c4bbbd4668942ebe60e1a45229f2cea2a34
重庆卫视,http://goo.bkpcp.top/mg/cqws
内蒙古卫视,http://goo.bkpcp.top/mg/nmws
甘肃卫视,http://goo.bkpcp.top/mg/gsws
青海卫视,http://goo.bkpcp.top/mg/qhws
山东卫视,http://goo.bkpcp.top/mg/sdws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江西卫视,http://goo.bkpcp.top/mg/jxws
江西卫视,https://www.freetv.top/migu/783847495.m3u8?migutoken=24962144a84495c9eb75e37d7d2db66b6ddea2d8f3870b24f8bcaee2cedb2501b703c4221d3e6281a2a72971e88ce2c3170b2e3d6ef2d8f2da1b813940d1d298452f34edc2546212be75f58470
江苏卫视,http://goo.bkpcp.top/mg/jsws
江苏卫视,https://www.freetv.top/migu/623899368.m3u8?migutoken=74cfa06d5ea741c91e90bda820a006b86f0b6899f946884d90761d24f1f9e7dcaba474b0019140dd63a939f77dae2d7f3ba971c9a11b93f8e19b54b9deaf70a74f92c828f3b395286700ab1415
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
大湾区卫视,https://www.freetv.top/migu/608917627.m3u8?migutoken=00a83bec713f1e132706e251c1e7ae653c7a9ae76f7cbae254d9e84463a6f15e2e63da6b79524227d05c22b13281baf44109f8d76ef14e695e70dfcb69e7b75fd1ab0802b30781870f3523c226
广西卫视,http://goo.bkpcp.top/mg/gxws
贵州卫视,http://goo.bkpcp.top/mg/gzws
新疆卫视,http://goo.bkpcp.top/mg/xjws
西藏卫视,http://goo.bkpcp.top/mg/xzws
海南卫视,http://goo.bkpcp.top/mg/hinws
CCTV1综合,https://www.freetv.top/migu/608807420.m3u8?migutoken=491f039071b1e5ca7ea22dab208a3373abd0aa38187ac74446778154f03126d09cf16f03bab30bbbe6b3654715b39584417cebbd010b1b65144b4d683dc814c330efffb70a09c7630ddbb49120
CCTV2财经,https://www.freetv.top/migu/631780532.m3u8?migutoken=d69d5e5f850768f4609f5e7c6f63984da2c614f71e21226d8dea3a6e40d20f871ca2d383cd042bac96e3e8178933a15192f0ffaef2e700eb95de835faecc0bb802bd0c50099bf3d1abe4ea5174
CCTV3综艺,https://www.freetv.top/migu/624878271.m3u8?migutoken=21306af96cf9259457600792df858b0d339bc7203aeb7e1a6ee6ec6ec3832a2736936029fe2583dcf971676870fdf0afbdee5be786e50af2ac6a8825673cc860d7988f44d0c5c4bc1931259698
CCTV4中文国际,https://www.freetv.top/migu/631780421.m3u8?migutoken=7acf39385ea80b0efa77b918418fcf998d00455e8b98e02dff92961440d989e3b7da00ef24731d327c410f2ef9ceb51e2137c20b2b606646542ce4643521747bf78b7533b3ec604bba63ffdf43
CCTV5体育,https://www.freetv.top/migu/641886683.m3u8?migutoken=cea30189b17e30fb3b4876609eb6e3128f840f8ab5db6f9643403213dc9980613938be69b13fe0290d2c44f0052b78d90c669a2f92e28951f92da861b7cba070b55ec1b4fe1a92a2c133c43c4c
CCTV5+体育赛事,https://www.freetv.top/migu/641886773.m3u8?migutoken=752524a725f1fe3e2f8566518e97cd59f827e367318341fa56132b91af956b4e1cd85f255dd26352c1e9611c76770d0ba4afaf07d71eb65ec9859b3d8239dd7806fb2b21c9410b3e062eab2fcc
