中国港澳,#genre#
凤凰中文,http://php.jdshipin.com/TVOD/iptv.php?id=fhzw
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
星空卫视,http://ali.hlspull.yximgs.com/live/facf94ac3441dc4e5f8e48d1eeb18045.flv
星空卫视,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
翡翠台,http://php.jdshipin.com/TVOD/iptv.php?id=fct
TVB无线新闻,http://php.jdshipin.com/TVOD/iptv.php?id=wxxwt
TVB星河,http://v2h.jdshipin.com/xinghe_1/xinghe_1.stream/chunklist_w106.m3u8
无线功夫频道,http://v2h.jdshipin.com/asia_action1/1asia_action.stream/chunklist_w101.m3u8
RTHK-33,https://rthktv33-live.akamaized.net/hls/live/2101641/RTHKTV33/stream04/streamPlaylist.m3u8
RTHK-34,https://rthktv34-live.akamaized.net/hls/live/2101642/RTHKTV34/stream04/streamPlaylist.m3u8
RTHK-35,https://rthktv35-live.akamaized.net/hls/live/2101643/RTHKTV35/stream02/streamPlaylist.m3u8
nowsports,https://stream1.freetv.fun/nowsports-1.ctv
面包台,https://video.bread-tv.com:8091/hls-live24/online/index.m3u8
耀才财经频道,https://v3.mediacast.hk/webcast/bshdlive-pc/chunklist_w99771165.m3u8
翡翠台,http://m.osvs.asia:8000/bysid/1
ViuTV6,http://m.osvs.asia:8000/bysid/96
ViuTV,http://m.osvs.asia:8000/bysid/99
翡翠台北美版(TVB J1),http://php.jdshipin.com/TVOD/iptv.php?id=j1
TVB Plus,http://php.jdshipin.com/TVOD/iptv.php?id=j2
重温经典,http://php.jdshipin.com/TVOD/iptv.php?id=cwjd
澳视澳门,http://php.jdshipin.com/TVOD/iptv.php?id=asam
澳视卫星,http://php.jdshipin.com/TVOD/iptv.php?id=as
无线翡翠,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fct
无线华丽,http://php.jdshipin.com/smt.php?id=Tvbjade
无线华丽,http://php.jdshipin.com:8880/TVOD/iptv.php?id=huali
新视觉HD,http://120.76.248.139/live/bfgd/4200000249.m3u8
星空卫视,http://wouu.net:9977/udp/239.93.0.156:2193
千禧经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=tvbc
Astr剧集,http://php.jdshipin.com:8880/TVOD/iptv.php?id=aod
香港_C+_,http://ottproxy2.ist.ooo/livehls/MOB-U1-NO/03.m3u8
澳视澳门,http://grandprix2023.asuscomm.com:8891/bysid/91.m3u8
澳视葡语,http://grandprix2023.asuscomm.com:8891/bysid/92.m3u8
澳门资讯,http://grandprix2023.asuscomm.com:8891/bysid/94.m3u8
澳门mac,http://grandprix2023.asuscomm.com:8891/bysid/96.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
环球电视,http://zb.xzxwhcb.com:9999/hls/world.m3u8
NHK新闻英,http://61.221.215.25:8800/hls/51/index.m3u8
CHC影迷电影,http://113.195.172.192:808/hls/112/index.m3u8
CHC家庭影院,http://113.195.172.192:808/hls/113/index.m3u8
CHC动作电影,http://113.195.172.192:808/hls/114/index.m3u8
翡翠台,http://php.jdshipin.com:8880/smt.php?id=jade_twn
翡翠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=53$LR•IPV4『线路19』
TVB翡翠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=9478&tk=97475bb89d45
TVB翡翠剧集,http://ali.hlspull.yximgs.com/live/l3w1tt2dkzvpukkliu64ah00b42-golive.flv
TVB无线华丽,http://php.jdshipin.com/TVOD/iptv.php?id=huali
TVB无线华丽,http://v2h.jdshipin.com/jade2/jade.stream/chunklist_w100.m3u8
TVB无线功夫,https://lb-mvtv-live.v2h-cdn.com/redirect/asia_action1/1asia_action.stream?type=m3u8
TVB无线新闻,http://php.jdshipin.com:8880/smt.php?id=inews_twn
TVB无线新闻,http://grandprix2023.asuscomm.com:8892/bysid/83.m3u8
TVB无线新闻,https://cdn.iptv8k.top/dl/jspd.php?id=2&time=20240926215313&ip=111.229.253.40$LR•IPV4『线路1』
TVB星河,http://php.jdshipin.com:8880/smt.php?id=Xinhe
TVB Plus,https://stream1.freetv.fun/tvb-j2-1.m3u8
TVB明珠台,http://grandprix2023.asuscomm.com:8892/bysid/2.m3u8
TVB明珠剧集,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=5300&tk=97475bb89d45
TVB黄金翡翠,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1509&tk=97475bb89d45
VIUTV,http://php.jdshipin.com:8880/TVOD/iptv.php?id=viutv
VIUTV 99,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1841&tk=97475bb89d45
VIUTV6 96,http://kkk.jjjj.jiduo.me/api.php?n=tttt&id=1035&tk=97475bb89d45
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv:80/livestream/mutfysrq.flv
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=8ee59707fee3ef96c922e680-167055218938751&wsIPSercert=d24f6d7c9d3646d9533d492d5209384b&wsMonitor=0$LR•IPV4『线路5』
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&wsIPSercert=8de23d0849e78e3b16ec92a809235421&wsMonitor=0$LR•IPV4『线路11』
咪咕频道,#genre#
CCTV2,https://www.freetv.top/migu/631780532.m3u8?migutoken=6c76ed4394c8c43f88aac34dab811cbf99f0534dd0deb2fa6a2515925b7e3485de13876836fa6823e42f5c7304cfe44911416d7ad0312b8fbf012adfe4f735fd37abdd31a3b3e6f645512cd090
CCTV3,https://www.freetv.top/migu/624878271.m3u8?migutoken=6051cf0f824b7432a7e38cb90b50dbc8d5f9dbc684d357663ae821fb87ae233a45772b235431568e910e14c17b7496429d23d2b4b3501692941d1e6d364b2e35ccf5890eb0c31743c5dffaa2ef
CCTV4,https://www.freetv.top/migu/631780421.m3u8?migutoken=9c479e166888f001e1fb4ab5502e734251c68075cd89836a715137a1a2a4b18b60e282b0f1a308d6641c282600bd8db3cef99cb15edd0ab61d81c4d76d154bb464e3a02a75b167298c4747ce6f
CCTV5,https://www.freetv.top/migu/641886683.m3u8?migutoken=2394bc3ac567cd8270631b1f612f28f996719523d72453a2d116e0f33d6e35016d1954f50d7ae0eae4743d3557d85b85dc048a8c45ac3d96c528fce533ceeb7febaa06283ebe688a04fa57379a
CCTV10,https://www.freetv.top/migu/624878405.m3u8?migutoken=b1b22121df2bcd800e793b36913fab68d316021b76f648524809136fb73c1f61bca55e7a5b0562383be65dfcb00d638501b42d41f4e66fc266c568cf7a9986d9178f59c8f802bee2700c475a63
CCTV11,https://www.freetv.top/migu/667987558.m3u8?migutoken=dbfc420c420e30228efe23e562fc0ee670a65ddac45cc355845b855f27a4e5ba04a7e18d73eb58be7427a4bed6ef9056659fbcf58979a56ccbe84899cfdf0644fc1215333ca6210639196795f2
CCTV13,https://www.freetv.top/migu/608807423.m3u8?migutoken=b0ebf450385413f8d70e72a92ceba03e41170d59df1374472666311b9a1b26c2665ac29d287ef869f8998593325508eed5b09a4020d14bc557a3fe580eea0c0f4c2c13a4581ddb400575b8d3e9
CCTV14,https://www.freetv.top/migu/624878440.m3u8?migutoken=e6bd15e024af167f2ca00052d9bcd67ea8fb97ef7fc460b66c53fe1a4e5ef960f22ccc6ea16b995648364a330058a0f552e989000e7e98adfafc3a0259bb475e8c905ce600deedcd97464ca17f
CCTV17,https://www.freetv.top/migu/673168256.m3u8?migutoken=cd9ac55fddf5f22ac004018cec6a4046c41dd9f4fc2bf0d97a30aaddef8a88da0e984cf03e60fa6a6adcb81d784905e343fb6a9dae398827b1b71b5164b118d15f6762b07225d4764bce858c33
CCTV4欧洲,https://www.freetv.top/migu/608807419.m3u8?migutoken=6a212f7bbb565d15fa1837af03bca5806c8d1522a2c9b34b1ed1c0f3cd23e6d7c4761bb6b35c9de97d923f603f557e6edb2ee11c80decc83bddea897b5c7ac59a7efea8e4796cbbfcf1b3fc93c
CCTV9Documentary,https://www.freetv.top/migu/609006487.m3u8?migutoken=aa6b7733654f88e6bc50f2966887b2eb428623c5d6d66fe9d0fc7de43f9aa6a724f12ec1f0d65aae1c1decba5cd1444cbdea8c24adbc56c5a79a1dbd2828e6deb293dace8a518080d5d1f0cb2b
CCTV法语,https://www.freetv.top/migu/609006476.m3u8?migutoken=5dd99cb161eb571abd27783de873e5e0ebd12066986ad26e19b26a455fcc5d03351605a1fa6c3abf1274770b07fd85c894f5dfcb9d2409b9c402878c0d89ecdca605504434138872090dfdd670
老故事,https://www.freetv.top/migu/884121956.m3u8?migutoken=550b8ac2d06ef43bd80e29582185fe693959996048d7b572ce1659fe9376b6101cf9002c0034445668d6e11645eab13a11978ca20adae4f4248041add5d27f4d8e71fd2a4e44fd398c8fb3614b
陕西卫视,https://www.freetv.top/migu/738910838.m3u8?migutoken=2811d59f756bd877ff82baab357029babfd42a225de3fc15373dd44a1eebc8fbe99b4cb84744baa6a1a884e6234a5608467ca1188361e65f980ee6900e1e4d76728f01cb0b40114546b51af18f
青海卫视,https://www.freetv.top/migu/947472506.m3u8?migutoken=7bfff5cd40297ac2c258f598f97f36a47e8d0d19763d61ff6f62aff98021e7fcafa9b64df934c1ca76302e804fb60ce17856d30a33b7965613665d25cce09f43302170684a7e39c85290af3bd3
海峡卫视,https://www.freetv.top/migu/849119120.m3u8?migutoken=575e4dac4e212c9e9dd5cb3bd90d48d45e719684f520ee1bd2fc218ef9bbcb4f220dbfacbd52e17de170ace2438bce74b51b78b673ac88e5f1168dc18c697b032a4c958ba4f43de038b8e8c3ca
上视东方影视,https://www.freetv.top/migu/617290047.m3u8?migutoken=a79bd9252429ca30d1ddfd2e52312a70f7639d661715dfc4e5586556dce9cb9466250fd143e4f21cb8655ab26976aa2a2cae5b1fc522ef76bfe8ead5da7bc67a7442838a4a504f8e59a15c0ff5
南京教科,https://www.freetv.top/migu/838153729.m3u8?migutoken=68341b05540f514ec344fce1684f8a66005aec759b66a516681cab444a9ba187b5fe8f24736f20a63bce950472d823cb104a3f9b1e3d92a9aaca7c063902981bf22e9689666398fd6a3f36c311
江苏城市,https://www.freetv.top/migu/626064714.m3u8?migutoken=a97c09dd32e9e2efdb24c6467d67144d5a8af4a47c0932bc9c05364e3925875050b7f2d23b36c9e33fddeb1005912a49c284312cf052c01286b7872cf510de0a5f2fe6a33f15b4ab74ab60c730
公共新闻,https://www.freetv.top/migu/626064693.m3u8?migutoken=9cff3fae3af7dea4e44e6d6d4fee99633724b762d4c89b67a5858c70a3e639c42042d3c0e6215f9e38cbf52ce3674165cc0f10c79ff34b4f9f6ae9f5c6eaded1b884226791f864b038195d1627
淮安新闻综合,https://www.freetv.top/migu/639731826.m3u8?migutoken=00b1d4f32234c7e79068a30140d3ddbaa6e95ac46df122e08a41351192792c134498a7bd16031b93fc32845a898b9eab1d9e3950317921601533d39ee5020d3ec4edd85973d751808aebba094b
体育休闲,https://www.freetv.top/migu/626064707.m3u8?migutoken=4a64215694e9f560bcbab7a3609fe3b67675a04c615feac25f186e8ab7c7d7f71f879fbc25bf9843a579400d9a6c1bf843d4bf864b661cd7ab9348cfb9c17de55ed8cb36406f52c88f28ad1222
优漫卡通,https://www.freetv.top/migu/626064703.m3u8?migutoken=deac6c5275081b54ad412a195e499b7c0cb8f04446b6c80aaa9d3eb1063d620261c68202d59aea05060007b58a62d5d208f16379d861d6f1627c10c9dd894f0bf7e3ca97b04696255e193e871c
临洮电视台,https://www.freetv.top/migu/668225749.m3u8?migutoken=276d662c5ff604211dad249129d737bdde6adf4b2506c8824ab20034517bf203de1525f6d2bbab81313371c0940b599ba39c75cd4578b127872d722fb2519f4989ac7c604974e13afdbcfa77cb
南方影视,https://www.freetv.top/migu/614961829.m3u8?migutoken=59e1c3ee01cdb822a4d33e21c718bd6ca999787cb7a34aa601970841f467d5c73472157329ddabc68c2584e1e65610d376999b177f28639b6bedea4548147e1d30a7e78b7ed5d8d26ff3725dd1
熊猫1,https://www.freetv.top/migu/608933610.m3u8?migutoken=c344125d6b28b78fbd4693693611655dc0ab88f2f4e5ba5b026b78015aa7c5b70738a195af2a0f42784531e494225db3baf192ef46da788a1f77fc3616345ebe85f87b3ac4548b1c8644860aad
熊猫6,https://www.freetv.top/migu/608935797.m3u8?migutoken=29a46c9cfc5661c1203e316b89b495d8b5c8594c7e6afc35414fe417a8abefba0eb1cf1e30bf3c3cc7de920cbf0917654e57727f4fab74e0c337228d33a682343763ee152f02261af8e2ec6771
熊猫8,https://www.freetv.top/migu/609169287.m3u8?migutoken=ba1a6b1c56c5bbf918630b758b0975faf7b54179a775c1c07d8a578d07cf9a04908eb38a9d1d7088141b5b16de171fd77a2321081b6035afca33a843e512418a8c46b1699baf3401f08d7b0f2c
经典动画大集合,https://www.freetv.top/migu/629942219.m3u8?migutoken=86f87b24ca9a42c10bb1f559784e32bc63a92ff5c40c412c0e9e0fd76c19af5f473ed85ea80241ad41f0eab3aca530d6a78bb93d435efa9082838405b1f7dbbfb82f77ca3aa885aaffe2474466
乐游,https://www.freetv.top/migu/796070452.m3u8?migutoken=08db41b84ab4168805124575a78e5a26308791f24ed87d82a0673da741f138ced13ebbdc692137f789bc825c9b97090de87e0ecc7eb4a5e51aec67a627ea452e9956c7b1dbc3426006eecdf34b
