IPTV研究所, #genre#
民视, http://IP替换:35050/?id=4gtv-4gtv002
中视, http://IP替换:35050/?id=4gtv-4gtv040
华视, http://IP替换:35050/?id=4gtv-4gtv041
TVBS, http://IP替换:35050/?id=4gtv-4gtv073
三立综合, http://IP替换:35050/?id=4gtv-live207
东森新闻, http://IP替换:35050/?id=4gtv-4gtv152
华视新闻, http://IP替换:35050/?id=4gtv-4gtv052
民视新闻, http://IP替换:35050/?id=live-ftv13
三立新闻iNEWS, http://IP替换:35050/?id=4gtv-live089
TVBS新闻, http://IP替换:35050/?id=4gtv-4gtv072153
东森财经新闻, http://IP替换:35050/?id=4gtv-4gtv153
中视新闻, http://IP替换:35050/?id=4gtv-4gtv074
中天新闻, http://IP替换:35050/?id=4gtv-4gtv009
寰宇新闻, http://IP替换:35050/?id=litv-longturn14
寰宇新闻台湾, http://IP替换:35050/?id=4gtv-4gtv156 
民视第一, http://IP替换:35050//?id=4gtv-4gtv003
民视台湾, http://IP替换:35050//?id=4gtv-4gtv001
TVBS精采, http://IP替换:35050/?id=4gtv-4gtv067
大爱电视, http://IP替换:35050/?id=4gtv-4gtv007
中视经典, http://IP替换:35050/?id=4gtv-4gtv080
好消息,http://IP替换:35050/?id=litv-ftv16
好消息2,http://IP替换:35050/?id=litv-ftv17
客家电视, http://IP替换:35050/?id=4gtv-4gtv043
八大综综艺http://IP替换:35050/?id=4gtv-4gtv039
中视菁采, http://IP替换:35050/?id=4gtv-4gtv064
爱尔达娱乐, http://IP替换:35050/?id=4gtv-4gtv070
靖天综合, http://IP替换:35050/?id=4gtv-4gtv046
靖天日本, http://IP替换:35050/?id=4gtv-4gtv047
新唐人亚太, http://IP替换:35050/?id=4gtv-live050
ARIRANG阿里郎频道, http://IP替换:35050/?id=4gtv-4gtv079
Global Trekker, http://IP替换:35050/?id=4gtv-live112
原住民族电视, http://IP替换:35050/?id=4gtv-live014
东森购物四, http://IP替换:35050/?id=4gtv-live049
LiveABC互动英语频道, http://IP替换:35050/?id=4gtv-live030
达文西频道, http://IP替换:35050/?id=4gtv-4gtv018
ELTV生活英语, http://IP替换:35050/?id=litv-longturn20
Nick Jr. 儿童频道, http://IP替换:35050/?id=4gtv-live032
尼克儿童频道, http://IP替换:35050/?id=4gtv-live105
DreamWorks 梦工厂动画, http://IP替换:35050/?id=4gtv-live017
靖天卡通, http://IP替换:35050/?id=4gtv-4gtv044
靖洋卡通Nice Bingo, http://IP替换:35050/?id=4gtv-4gtv057
MOMO亲子, , http://IP替换:35050/?id=4gtv-live107
东森购物一, http://IP替换:35050/?id=4gtv-ive047
Bloomberg TV, http://IP替换:35050/?id=4gtv-ive059
SBN全球财经, http://IP替换:35050/?id=4gtv-live060
寰宇财经, http://IP替换:35050/?id=4gtv-4gtv158
东森购物二, http://IP替换:35050/?id=4gtv-live046
民视综艺, http://IP替换:35050/?id=4gtv-4gtv004
猪哥亮歌厅秀, http://IP替换:35050/?id=4gtv-4gtv006
靖天育乐, http://IP替换:35050/?id=4gtv-4gtv062
靖天国际, http://IP替换:35050/?id=4gtv-4gtv063
靖天欢乐, http://IP替换:35050/?id=4gtv-4gtv054
靖天资讯, http://IP替换:35050/?id=4gtv-4gtv065
TVBS欢乐, http://IP替换:35050/?id=4gtv-4gtv068
TVBS综艺,http://IP替换:35050/?id=4gtv-live087
TVBS台剧,http://IP替换:35050/?id=4gtv-live088
韩国娱乐, http://IP替换:35050/?id=4gtv-4gtv016
ROCK Entertainment, http://IP替换:35050/?id=4gtv-live080
Lifetime 娱乐频道, http://IP替换:35050/?id=4gtv-live029
电影原声, http://IP替换:35050/?id=4gtv-live031
TRACEUrban,http://IP替换:35050/?id=4gtv-4gtv082
MTVLiveHD音乐频道,http://IP替换:35050/?id=4gtv-live025
MezzoLiveHD,http://IP替换:35050/?id=4gtv-4gtv083
CLASSICA古典乐,http://IP替换:35050/?id=4gtv-4gtv059
东森购物三,http://IP替换:35050/?id=4gtv-live048
TRACESportStars,http://IP替换:35050/?id=4gtv-4gtv077
智林体育,http://IP替换:35050/?id=4gtv-4gtv101
时尚运动X,http://IP替换:35050/?id=4gtv-4gtv014
车迷TV,http://IP替换:35050/?id=4gtv-live201
GINXEsportsTV,http://IP替换:35050/?id=4gtv-4gtv053
PetClubTV,http://IP替换:35050/?id=4gtv-live110
民视旅游Fre,http://IP替换:35050/?id=litv-ftv07
滚动力rollor,http://IP替换:35050/?id=4gtv-live012
亚洲旅游,http://IP替换:35050/?id=4gtv-4gtv076
fun探索娱乐,http://IP替换:35050/?id=4gtv-live011
幸福空间居家,http://IP替换:35050/?id=4gtv-live206
LoveNature,http://IP替换:35050/?id=4gtv-live208
History历史频道,http://IP替换:35050/?id=4gtv-live026
爱尔达生活旅游,http://IP替换:35050/?id=4gtv-live120
LUXETVChannel,http://IP替换:35050/?id=4gtv-live121
TV5MONDESTYLEHD生活时尚,http://IP替换:35050/?id=4gtv-live122
公视戏剧,http://IP替换:35050/?id=4gtv-4gtv042
民视影剧,http://IP替换:35050/?id=litv-ftv09
