央视频道,#genre#

CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000001000004953$百视通4M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000004000002226$百视通8M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000010000030810$百视通4M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000011000265001$百视通4M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=hnbblive&key=2000000002000000052$咪咕视讯4M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=hnbblive&key=5510876839019192947$咪咕视讯2M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=hnbblive&key=9198071806334826260$咪咕视讯2M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=wasusyt&key=5068253659616166748$华数2M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=wasusyt&key=6000000001000029752$华数8M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000001000018602$易视腾8M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000001000021973$易视腾4M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000005000265001$易视腾6M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=reallive-cctv1&mode=1&$易视腾2M
CCTV-1综合,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=reallive-hdcctv1&mode=1&$易视腾2M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000005000031113$百视通4M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000011000031101$百视通8M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=hnbblive&key=7501364488890008391$咪咕视讯2M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=wasusyt&key=6000000001000014161$华数8M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=wasusyt&key=8878432746825677699$华数2M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000001000012442$易视腾4M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000001000023315$易视腾8M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000005000265002$易视腾6M
CCTV-2财经,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=5353323539453949720$易视腾2M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000002000020548$百视通4M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000004000008883$百视通8M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000011000265003$百视通4M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=wasusyt&key=6000000001000022313$华数8M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000001000011218$易视腾4M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000001000013682$易视腾8M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000005000265003$易视腾6M
CCTV-3综艺,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=8378175926191110263$易视腾2M
CCTV-4中文国际,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000005000030093$百视通4M
CCTV-4中文国际,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000011000031102$百视通8M
CCTV-4中文国际,http://A/PLTV/ku9/js/1080.js?cid=bestzb&key=5000000011000265004$百视通4M
CCTV-4中文国际,http://A/PLTV/ku9/js/1080.js?cid=hnbblive&key=8830950643842119430$咪咕视讯2M
CCTV-4中文国际,http://A/PLTV/ku9/js/1080.js?cid=wasusyt&key=4719673858948437836$华数2M
CCTV-4中文国际,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000002000031664$易视腾4M
CCTV-4中文国际,http://A/PLTV/ku9/js/1080.js?cid=ystenlive&key=1000000005000265004$易视腾6M
