更新时间

臺灣 Taiwan,#genre#
AXN,https://pixman.mytvsuper.com.mp/Smart.php?id=axn_twn
CINEMAX,https://pixman.mytvsuper.com.mp/Smart.php?id=cinemax_twn
EYE戲劇,https://pixman.mytvsuper.com.mp/Smart.php?id=eyetvxiju_twn
EYE旅遊,https://pixman.mytvsuper.com.mp/Smart.php?id=eyetvtravel_twn
HBO,https://pixman.mytvsuper.com.mp/Smart.php?id=hbohd_twn
HBO Family,https://pixman.mytvsuper.com.mp/Smart.php?id=fyi_twn
好萊塢電影台,https://pixman.mytvsuper.com.mp/Smart.php?id=hollywoodmovies_twn
MTV Live,https://pixman.mytvsuper.com.mp/Smart.php?id=mtvhd_twn
TLC旅遊生活,https://pixman.mytvsuper.com.mp/Smart.php?id=tlc_twn
東森新聞,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvnews
TVBS HD,https://pixman.mytvsuper.com.mp/Smart.php?id=tvbs
TVBS新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=tvbs_n
TVBS歡樂台,https://pixman.mytvsuper.com.mp/Smart.php?id=tvbshuanle_twn
三立台灣台,https://pixman.mytvsuper.com.mp/Smart.php?id=sanlitaiwan
三立戲劇台,https://pixman.mytvsuper.com.mp/Smart.php?id=sanlixiju_twn
三立綜合台,https://pixman.mytvsuper.com.mp/Smart.php?id=sanlizhonghe
中天亞洲台,https://pixman.mytvsuper.com.mp/Smart.php?id=ctiasia_twn
中天娱樂,https://pixman.mytvsuper.com.mp/Smart.php?id=ctient
中天新聞HD,https://pixman.mytvsuper.com.mp/Smart.php?id=ctinews
中天綜合,https://pixman.mytvsuper.com.mp/Smart.php?id=ctizhonghe
亞洲旅遊台,https://pixman.mytvsuper.com.mp/Smart.php?id=asiatravel_twn
亞洲美食,https://pixman.mytvsuper.com.mp/Smart.php?id=afc_twn
八大戲劇,https://pixman.mytvsuper.com.mp/Smart.php?id=badadrama
八大第一,https://pixman.mytvsuper.com.mp/Smart.php?id=badafirst
八大綜合,https://pixman.mytvsuper.com.mp/Smart.php?id=badazhonghe
公視,https://pixman.mytvsuper.com.mp/Smart.php?id=ctv_taiwan
民視,https://pixman.mytvsuper.com.mp/Smart.php?id=ftvhd_taiwan
民視第一台,https://pixman.mytvsuper.com.mp/Smart.php?id=lunghuajingdian_twn
民視台灣台,https://pixman.mytvsuper.com.mp/Smart.php?id=ftvtaiwan_twn
民視新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=ftvnew_taiwan
台視,https://pixman.mytvsuper.com.mp/Smart.php?id=ttv_taiwan	
台視新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=ttvnews_twn
中視,https://pixman.mytvsuper.com.mp/Smart.php?id=zhongshihd_twn
中視新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=zhongshinews_twn
中視經典,https://pixman.mytvsuper.com.mp/Smart.php?id=zhongshi_twn
華視,https://pixman.mytvsuper.com.mp/Smart.php?id=ctshd_twn
華藝綜合,https://pixman.mytvsuper.com.mp/Smart.php?id=weishichinese_twn
大愛一台,https://pixman.mytvsuper.com.mp/Smart.php?id=daai_twn
寰宇新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=huanyuxinwen_twn
寰宇財經台,https://pixman.mytvsuper.com.mp/Smart.php?id=huanyutaiwan_twn
年代新聞台,https://pixman.mytvsuper.com.mp/Smart.php?id=niandainews_twn
愛爾達影劇,https://pixman.mytvsuper.com.mp/Smart.php?id=eltayingju_twn
愛爾達體育 1,https://pixman.mytvsuper.com.mp/Smart.php?id=eltasport_twn
愛爾達體育 2,https://pixman.mytvsuper.com.mp/Smart.php?id=eltasport2_twn
愛爾達體育 3,https://pixman.mytvsuper.com.mp/Smart.php?id=eltasport3_twn
ELEVEN 1,https://pixman.mytvsuper.com.mp/Smart.php?id=golfchannel_twn
博斯網球,https://pixman.mytvsuper.com.mp/Smart.php?id=bositennis_twn
博斯運動1,https://pixman.mytvsuper.com.mp/Smart.php?id=bosisport1_twn
博斯運動2,https://pixman.mytvsuper.com.mp/Smart.php?id=bosisport2_twn
博斯高球1,https://pixman.mytvsuper.com.mp/Smart.php?id=bosigolf1_twn
博斯高球2,https://pixman.mytvsuper.com.mp/Smart.php?id=bosigolf2_twn
探索亞洲,https://pixman.mytvsuper.com.mp/Smart.php?id=discoverytwn_twn
探索動力,https://pixman.mytvsuper.com.mp/Smart.php?id=discoveryturbo_twn
國家地理,https://pixman.mytvsuper.com.mp/Smart.php?id=natgeohd_twn
野生動物,https://pixman.mytvsuper.com.mp/Smart.php?id=natgeowild_twn
動物星球,https://pixman.mytvsuper.com.mp/Smart.php?id=animalplanet_twn
時尚,https://pixman.mytvsuper.com.mp/Smart.php?id=fashiontv_twn
Discovery Asia,https://pixman.mytvsuper.com.mp/Smart.php?id=discoverytwn_twn
Discovery HD,https://pixman.mytvsuper.com.mp/Smart.php?id=discoveryhd_twn
東森戲劇,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvdrama
東森洋片,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvwestern
東森綜合,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvzhonghe
東森財經新聞,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvcaijing_twn
東森電影,https://pixman.mytvsuper.com.mp/Smart.php?id=ettvmovie
緯來日本台,https://pixman.mytvsuper.com.mp/Smart.php?id=videolandjapan
緯來體育台,https://pixman.mytvsuper.com.mp/Smart.php?id=videolandsport
美亞電影,https://pixman.mytvsuper.com.mp/Smart.php?id=meiyamovie_twn
BBC World News,https://pixman.mytvsuper.com.mp/Smart.php?id=bbcnews_twn
Bloomberg News,https://pixman.mytvsuper.com.mp/Smart.php?id=bloomberg_twn
Fox News,https://pixman.mytvsuper.com.mp/Smart.php?id=foxnews_twn
阿里郎,https://pixman.mytvsuper.com.mp/Smart.php?id=arirang_twn
CN卡通,https://pixman.mytvsuper.com.mp/Smart.php?id=momo1_twn
靖天卡通台,https://pixman.mytvsuper.com.mp/Smart.php?id=jingtiancartoon_twn
靖天國際台,https://pixman.mytvsuper.com.mp/Smart.php?id=jingtianintl_twn
