欣赏频道,#genre#
抖音姐姐热舞,http://rihou.cc:555/mp4?id=lndjll.mp4
雪中悍刀行剧,http://rihou.cc:555/huyad.php?id=11336592
庆余年电视剧,http://rihou.cc:555/huyad.php?id=11352960
琅琊榜电视剧,http://zby.xjqxz.top/lyb/live.m3u8
鹊刀门传奇剧,http://wab201.win:35455/yy/1355344777
三生三世轮播,http://zby.xjqxz.top/sssszss/live.m3u8
甄嬛传电视剧,http://zby.xjqxz.top/live8/live.m3u8
芈月传电视剧,http://rihou.cc:555/huyad.php?id=11352975
卿卿日常轮播,http://zby.xjqxz.top/qqrc/live.m3u8
知否知否轮播,http://zby.xjqxz.top/zfzf/live.m3u8
与凤行电视剧,http://rihou.cc:555/huyad.php?id=26355866
开端电视轮播,http://rihou.cc:555/huyad.php?id=11342397
我的体育老师,http://wab201.win:35455/yy/1382745169
如果岁月轮播,http://wab201.win:35455/yy/1382736883
流金岁月轮播,http://wab201.win:35455/yy/1382749906
向风而行轮播,http://zby.xjqxz.top/xfex/live.m3u8
我的前半生剧,http://wab201.win:35455/yy/1382735564
伪装者电视剧,http://wab201.win:35455/yy/1354936244
警察荣誉轮播,http://zby.xjqxz.top/live16/live.m3u8
亮剑电视轮播,http://rihou.cc:555/huyad.php?id=30080238
雪豹电视轮播,http://rihou.cc:555/huyad.php?id=29580970
火蓝刀锋轮播,http://wab201.win:35455/yy/1382737892
二炮手电视剧,http://wab201.win:35455/yy/1354930964
炮神电视轮播,http://wab201.win:35455/yy/22089862
风筝电视轮播,http://wab201.win:35455/yy/1354931585
武林外传轮播,http://wab201.win:35455/yy/1355652820
科幻梦工场播,http://rihou.cc:555/huyad.php?id=15152155
笑声传奇轮播,http://wab201.win:35455/yy/1382736880
笑傲帮集轮播,http://wab201.win:35455/yy/1382735555
笑傲江湖一季,http://wab201.win:35455/yy/1382749896
笑傲江湖二季,http://wab201.win:35455/yy/1382736914
欢乐集结号播,http://wab201.win:35455/yy/1354931582
欢乐集结号三,http://wab201.win:35455/yy/1382736822
欢乐集结号四,http://wab201.win:35455/yy/1382736889
脱口秀大会肆,http://rihou.cc:555/huyad.php?id=30080243
吐槽大会海天,http://wab201.win:35455/yy/1354932379
吐槽大会二季,http://wab201.win:35455/yy/1354936145
吐槽大会五季,http://wab201.win:35455/yy/1354889009
粤语星爷电影,http://rihou.cc:555/huyad.php?id=11336587
星空卫视频道,http://122.224.58.42:85/tsfile/live/1024_1.m3u8?key=txiptv&playlive=1&authid=0
重温经典频道,http://cdn3.132.us.kg/live/cwjd/stream.m3u8
重温经典频道,http://120.76.248.139/live/bfgd/4200000635.m3u8
重温经典频道,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典频道,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
星光经典频视,https://ali.hlspull.yximgs.com/live/1355046088.flv
星光综合频视,http://ali.hlspull.yximgs.com/live/zxcvbnm9852.flv
星光影迷频视,https://ali.hlspull.yximgs.com/live/11077536.flv
好人影视频视,https://ali.hlspull.yximgs.com/live/1234566.flv
经典电影频视,http://ali.hlspull.yximgs.com/live/asdfg978707232.flv
经典乡村频视,http://ali.hlspull.yximgs.com/live/asdfg863678266.flv
经典频道频视,http://ali.hlspull.yximgs.com/live/asdfg6699388.flv
经典功夫频视,http://ali.hlspull.yximgs.com/live/asdfg99338.flv
经典都市频视,http://ali.hlspull.yximgs.com/live/asdfg32619.flv
经典综艺频视,http://ali.hlspull.yximgs.com/live/asdfg171759930.flv
经典少儿频视,http://ali.hlspull.yximgs.com/live/asdfg315962975.flv
经典港片频视,http://ali.hlspull.yximgs.com/live/asdfg6899366.flv
港粤频道,#genre#
凤凰中文频标,http://43.129.81.169/qctv.fengshows.cn/live/0701pcc72.flv
凤凰资讯频标,http://43.129.81.169/qctv.fengshows.cn/live/0701pin72.flv
凤凰香港频标,http://43.129.81.169/qctv.fengshows.cn/live/0701phk72.flv
中天新闻频标,http://tlive24.uk/livehttpplay?channel_id=20163
有线新闻频标,http://live4play.uk/livehttpplay?channel_id=20191
Now新闻频标,http://live4play.uk/livehttpplay?channel_id=20041
Now英超粤语,http://hkenlive.uk/livehttpplay?channel_id=13007
Now英超直壹,http://hkenlive.uk/livehttpplay?channel_id=13011
Now英超体贰,http://hkenlive.uk/livehttpplay?channel_id=13025
无线翡翠频标,http://vallest.uk/livehttpplay?channel_id=30025
无线星河频道,http://go1.bkpcp.top/tl/null-7
无线综合频道,http://go1.bkpcp.top/tl/null-3
无线粤片频道,http://go1.bkpcp.top/tl/null-10
无线华剧频道,http://go1.bkpcp.top/tl/null-4
黄金翡翠频道,http://go1.bkpcp.top/tl/null-2
黄金华剧频道,http://go1.bkpcp.top/tl/null-9
天映经典频道,http://go1.bkpcp.top/tl/null-1
美亚电影频道,http://go1.bkpcp.top/tl/null-5
东森电影频道,http://go1.bkpcp.top/tl/null-11
中国电影频道,http://go1.bkpcp.top/tl/null-6
凤凰资讯频限,https://ali.hlspull.yximgs.com/live/qq491695550-fh.flv
中视闽南频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvqphfwnmfjcqfxcvhqqwqfbfqjyuqqnmfcbsfqeqtyhsjqs.flv
华视闽南频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvpjymvcqnqqqcvbcvbqtyqqqffcfqvqftoqqbvcqfejnhs.flv
台视闽南频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvpteqfsxlvcqjewqqqpsqfvvxcqqqpfossvbxcfqqtqvxqhlts.flv
东森戏剧频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvqowjxnqltjqhecvxcqqeqqeqyhqjyjuoquomjfqhqqqjqsqy.flv
东森洋片频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvqmqptjqqxfqwetqvbqstqqqsutyhjqhflqqfhfhyqwqsyp.flv
龙祥时代频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvmqloehqbqqqpvboyjetqewsqhthqyuqfqwetyqqqhflxsq.flv
龙华洋片频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvqeqcxlvofbqbvbqqqfqvqhslcfvxcvxsqbcvqfjvsfcbqbnqtyxty.flv
龙华戏剧频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvqeqcxlvofbqbvnqqsfqvbhslcfvxcvqsqbcvqfjvqsfcbqbnqtyqj.flv
ELta影剧频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvsfbxcvqsfqjhnfcvbsxqjnqsvmvbsqqqfjhyuqmqbvnqslhxj.flv
AXN电影频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvqeqcxlvofbqbvbqqqfqvqhslcfybqssxsqbcqcfjvsfcbqbnqtyqxn.flv
HBO电影频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvmqqlqpwqjctjfhjvqjqjuqlvcbeyweqweefshqfhhqsqqcxhbo.flv
HBO强档频限,http://ali.hlspull.yximgs.com/live/huanqiuhktvtqcvsqgcqyhpvobqxclmvhqogjqbojbsqhlelevenjhbosignature.flv
天映经典频限,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvvcnyjsqfqsetqqfcvbcjtsqqfvxcvsqnmbnlqqhqqnmyhsqqftyjq.flv
龙祥时代频限,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvmqloehqbqqqpvboyjetqewsqhthqyuqfqwetyqqqhflxsq.flv
龙华洋片频限,http://ali.hlspull.yximgs.com:80/live/huanqiuhktvqeqcxlvofbqbvbqqqfqvqhslcfvxcvxsqbcvqfjvsfcbqbnqtyxty.flv
中天新闻斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=ctinews
有线新闻斯特,https://haoyunlai.serv00.net/Smartv-1.php?id=hoycaijing_twn
哪吒修复,#genre#
⬇️哪吒2魔童闹海⬇️,http://rihou.cc:555/mp4?id=lndjj.mp4
哪吒1魔童降世,https://vip.ffzy-play7.com/20221111/3098_4ec0b2e9/index.m3u8
哪吒2闹海修复,https://c1.7bbffvip.com/video/nazhazhimotongnaohai/修复版/index.m3u8
美国队长4英Ts,https://svip.high21-playback.com/20250213/41561_26a2d9e7/index.m3u8
峡谷2025HD中,https://cdn7.ryplay7.com/20250215/10678_9c49fdd1/index.m3u8
死待与金刚狼H,https://svip.high21-playback.com/20241103/39766_5615a4fa/index.m3u8
神偷奶爸4国语,https://svip.high21-playback.com/20241018/39470_042b09a4/index.m3u8
危机航线-HD国,https://svip.high21-playback.com/20241129/40285_ed081458/index.m3u8
九龙城寨-HD国,https://svipsvip.ffzy-online5.com/20240621/28901_46307ada/index.m3u8
九龙城寨-HD粤,https://svipsvip.ffzy-online5.com/20240621/28900_f7dce56e/index.m3u8
新剧追更,#genre#
千娇百媚01集,https://svip.yyzy-play.vip/20250213/23436_5cc48112/index.m3u8
千娇百媚02集,https://svip.yyzy-play.vip/20250213/23435_17e56a8a/index.m3u8
千娇百媚03集,https://svip.high25-playback.com/20250213/19603_b350cd9f/index.m3u8
千娇百媚04集,https://svip.high25-playback.com/20250213/19602_aa99d624/index.m3u8
千娇百媚05集,https://svip.high24-playback.com/20250213/18544_130fb14c/index.m3u8
千娇百媚06集,https://svip.high24-playback.com/20250214/18630_8672df2f/index.m3u8
千娇百媚07集,https://svip.high24-playback.com/20250214/18635_eb56a580/index.m3u8
千娇百媚08集,https://svip.high24-playback.com/20250215/18709_2506e310/index.m3u8
千娇百媚09集,https://svip.high24-playback.com/20250215/18708_24c05563/index.m3u8
千娇百媚10集,https://svip.high24-playback.com/20250216/18761_9baf9ee8/index.m3u8
千娇百媚11集,https://svip.high24-playback.com/20250216/18760_1d698c5b/index.m3u8
仙台有树01集,https://svip.high25-playback.com/20250207/19125_641aa2e1/index.m3u8
仙台有树02集,https://svip.high25-playback.com/20250207/19124_940ee337/index.m3u8
仙台有树03集,https://svip.high25-playback.com/20250207/19123_61acdc1e/index.m3u8
仙台有树04集,https://svip.high25-playback.com/20250207/19122_8a26aa92/index.m3u8
仙台有树05集,https://svip.high25-playback.com/20250207/19121_f8a88b85/index.m3u8
仙台有树06集,https://svip.high25-playback.com/20250207/19120_58d8cb78/index.m3u8
仙台有树07集,https://svip.high24-playback.com/20250208/18142_397e25ae/index.m3u8
仙台有树08集,https://svip.high24-playback.com/20250208/18141_8eaff66d/index.m3u8
仙台有树09集,https://svip.high24-playback.com/20250209/18227_4ac7409e/index.m3u8
仙台有树10集,https://svip.high24-playback.com/20250209/18226_18db3ae9/index.m3u8
仙台有树11集,https://svip.high25-playback.com/20250210/19419_19dbcc83/index.m3u8
