♓关于软件,#genre#
软件免费,http://vd3.bdstatic.com/mda-jfje0s0z33b0c9vf/mda-jfje0s0z33b0c9vf.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
禁止商用,http://l.cztvcloud.com/channels/lantian/SXxinchang2/720p.m3u8
加入QQ群,https://vd4.bdstatic.com/mda-mmncsg3gspc9rq5m/480p/h264/1640253169234879704/mda-mmncsg3gspc9rq5m.mp4
QQ群892669709分享,http://vd3.bdstatic.com/mda-jfghscj8datutink/mda-jfghscj8datutink.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D
感谢会会领导,http://live.shaoxing.com.cn/video/s10001-sxtv3/index.m3u8
感谢若彤领导,http://vd3.bdstatic.com/mda-jfrred8ck6pnh6bq/mda-jfrred8ck6pnh6bq.mp4?playlist=%5B%22hd%22%2C%22sc%22%5D

感谢小新老师,https://vd2.bdstatic.com/mda-mhq92a7nafrh8dma/1080p/cae_h264/1629977686796490849/mda-mhq92a7nafrh8dma.mp4

</p> 
中央咪咕1,#genre#
CCTV1-综合,http://113.240.176.157:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&down=1
CCTV2-财经,http://113.240.176.157:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&down=1
CCTV3-综艺,http://113.240.176.157:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&down=1
CCTV4-国际,http://113.240.176.157:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&down=1
CCTV5-体育,http://113.240.176.157:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&down=1
CCTV6-电影,http://113.240.176.157:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&down=1
CCTV7-军农,http://113.240.176.157:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&down=1
CCTV8-电视剧,http://113.240.176.157:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&down=1
CCTV9-纪录,http://113.240.176.157:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&down=1
CCTV10-科教,http://113.240.176.157:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&down=1
CCTV11-戏曲,http://113.240.176.157:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&down=1
CCTV12-社会与法,http://113.240.176.157:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&down=1
CCTV13-新闻,http://113.240.176.157:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&down=1
CCTV14-少儿,http://113.240.176.157:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&down=1
CCTV15-音乐,http://113.240.176.157:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&down=1
湖南卫视,http://113.240.176.157:9901/tsfile/live/0128_1.m3u8?key=txiptv&playlive=1&down=1
湖南经视,http://113.240.176.157:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&down=1
湖南都市,http://113.240.176.157:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&down=1
湖南电视剧,http://113.240.176.157:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&down=1
湖南电影,http://113.240.176.157:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&down=1
金鹰卡通,http://113.240.176.157:9901/tsfile/live/1004_1.m3u8?key=txiptv&playlive=1&down=1
湖南娱乐,http://113.240.176.157:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&down=1
金鹰纪实,http://113.240.176.157:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&down=1
湖南公共,http://113.240.176.157:9901/tsfile/live/1007_1.m3u8?key=txiptv&playlive=1&down=1
江苏卫视,http://113.240.176.157:9901/tsfile/live/0127_1.m3u8?key=txiptv&playlive=1&down=1
北京卫视,http://113.240.176.157:9901/tsfile/live/0122_1.m3u8?key=txiptv&playlive=1&down=1
天津卫视,http://113.240.176.157:9901/tsfile/live/0135_1.m3u8?key=txiptv&playlive=1&down=1
深圳卫视,http://113.240.176.157:9901/tsfile/live/0126_1.m3u8?key=txiptv&playlive=1&down=1
湖北卫视,http://113.240.176.157:9901/tsfile/live/0132_1.m3u8?key=txiptv&playlive=1&down=1
山东卫视,http://113.240.176.157:9901/tsfile/live/0131_1.m3u8?key=txiptv&playlive=1&down=1
黑龙江卫视,http://113.240.176.157:9901/tsfile/live/0143_1.m3u8?key=txiptv&playlive=1&down=1
浙江卫视,http://113.240.176.157:9901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&down=1
安徽卫视,http://113.240.176.157:9901/tsfile/live/0130_1.m3u8?key=txiptv&playlive=1&down=1
东方卫视,http://113.240.176.157:9901/tsfile/live/0107_1.m3u8?key=txiptv&playlive=1&down=1
江西卫视,http://113.240.176.157:9901/tsfile/live/0138_1.m3u8?key=txiptv&playlive=1&down=1
辽宁卫视,http://113.240.176.157:9901/tsfile/live/0121_1.m3u8?key=txiptv&playlive=1&down=1
东南卫视,http://113.240.176.157:9901/tsfile/live/0137_1.m3u8?key=txiptv&playlive=1&down=1
旅游卫视,http://113.240.176.157:9901/tsfile/live/0114_1.m3u8?key=txiptv&playlive=1&down=1
广东卫视,http://113.240.176.157:9901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&down=1
广西卫视,http://113.240.176.157:9901/tsfile/live/0113_1.m3u8?key=txiptv&playlive=1&down=1
凤凰资讯,http://180.103.216.144:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
