China=大陸_,#genre#
CCTV-1 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/acb5bccceb45633804405de97ead7d3b/master.m3u8
CCTV-2 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/fe9d9cf4ea87932abc5457a5366f28c3/master.m3u8
CCTV-3 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/9c67d45b40421c53ce40c027da10d161/master.m3u8
CCTV4(MY),http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/7d3f383ce4a6a8d8912aa5ddea9187e0/master.m3u8
CCTV-5 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/4d7a04c034adc012ebb1a9ee53c8c387/master.m3u8
CCTV-5+ HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/133c59f339ba51d2971db97df81362af/master.m3u8
CCTV-6 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/2dbfab19eadf0bc16c5638958656c8c9/master.m3u8
CCTV-7 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/bdc7e41ea29c08920aead57bedfda415/master.m3u8
CCTV-8 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/486de0e598ef4babaa3cb5a993093eb3/master.m3u8
CCTV-9 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/1278eac94210144cd7fea04b2bee345e/master.m3u8
CCTV-10 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/700d6047b4ee2516812769c7375f647a/master.m3u8
CCTV-11 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/da6764e3e4b17b4cc4491f5506a25439/master.m3u8
CCTV-12 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/9b722df548f02d951962a839350b340f/master.m3u8
CCTV-13 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/b436be97f63e570c1c082d1a7dbb12dc/master.m3u8
CCTV-14 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8c4a77ad9c2eab39cf7e24f84f4cf33d/master.m3u8
CCTV-15 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/565bd10adf10c3a748faf19496cafaa9/master.m3u8
廣西衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/829694e4a95ffa94a65e845d91f3f974/master.m3u8
四川衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/dba8c7ad30ef8c285e7c6a7af388fd44/master.m3u8
湖北衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/d78dca82adef373f41ffb4d75e68f8b4/master.m3u8
大灣區衛視,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/87b0199068bb80311573034bc9183947/master.m3u8
廣東影視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/03d722323aca41dfae9040f35951d361/master.m3u8
廣東珠江 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/82af81884e133d88ef4913abb4bdfc77/master.m3u8
天津衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/8bcb70b4305ee6c0a255255635a19ad6/master.m3u8
北京衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/61c85f379d82da0a55517b8b452a5c76/master.m3u8
深圳衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/1a0e63d73ea960e846edbc8ef287d22b/master.m3u8
湖南衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/0ace182fa988cb87954a1ad88b9ec094/master.m3u8
浙江衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/021cdb88a0938f57a126d463c2829092/master.m3u8
東方衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/c6a34acd6bb596a699ca879f62becf27/master.m3u8
江蘇衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/1f84745ffe36e0d961ef75014a7db4f5/master.m3u8
廣東衛視 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/4fc4fb445c5a35bede6e412de41f9b71/master.m3u8
魅力足球 HD,http://127.0.0.1:17173/172.96.160.90:16000/stream/9a533206e58bf825-25eedb205648744a12e36e835dbfcb43/f05f33e57ddf626f9dfd72b236056d0b/master.m3u8
