

央视频道,#genre#
CCTV-1综合,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv1
CCTV-2财经,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv2
CCTV-3综艺,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv3
CCTV-4中文国际,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv4
CCTV-4美洲,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv4a
CCTV-4欧洲,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv4o
CCTV-5体育,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv5
CCTV-5+体育赛事,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv5p
CCTV-6电影,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv6
CCTV-7国防军事,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv7
CCTV-8电视剧,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv8
CCTV-9纪录,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv9
CCTV-10科教,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv10
CCTV-11戏曲,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv11
CCTV-12社会与法,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv12
CCTV-13新闻,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv13
CCTV-14少儿,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv14
CCTV-15音乐,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv15
CCTV-17农业农村,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cctv17
CCTV发现之旅,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=fxzl
CCTV老故事,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=lgs
CCTV中学生,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=zxs
CGTN,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cgtn
CGTN纪录,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cgtnjl
CGTN西班牙语,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cgtne
CGTN法语,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cgtnf
CGTN阿拉伯语,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cgtna
CGTN俄语,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=cgtnr
卫视频道,#genre#
东方卫视,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=dfws
吉林卫视,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=jlws
辽宁卫视,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=lnws
青海卫视,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=qhws
陕西卫视,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=sxws
山东卫视,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=sdws
河南卫视,http://xn--z6ut02b.xn--qoqw77q.top/zb.php?id=hnws
