央视ITV,#genre#
CCTV-1,http://111.29.9.33:6610/000000001000/0/6000000001000029752.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000029752$华数8M
CCTV-1,http://111.29.9.33:6610/000000001000/1/1000000001000018602.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000018602$易视腾8M
CCTV-1,http://111.29.9.33:6610/000000001000/1/5000000004000002226.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000004000002226$百视通7.5M
CCTV-1,http://111.29.9.33:6610/000000001000/1/1000000005000265001.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265001$易视腾HEVC
CCTV-1,http://111.29.9.33:6610/000000001000/1/5000000010000030810.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000010000030810$百视通4M
CCTV-1,http://111.29.9.33:6610/000000001000/1/1000000001000021973.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000021973$易视腾4M
CCTV-2,http://111.29.9.33:6610/000000001000/0/6000000001000014161.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=wasusyt&Contentid=6000000001000014161$华数8M
CCTV-2,http://111.29.9.33:6610/000000001000/1/1000000001000023315.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000023315$易视腾8M
CCTV-2,http://111.29.9.33:6610/000000001000/1/5000000011000031101.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000011000031101$百视通6.8M
CCTV-2,http://111.29.9.33:6610/000000001000/1/1000000005000265002.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000005000265002$易视腾HEVC
CCTV-2,http://111.29.9.33:6610/000000001000/1/1000000001000012442.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=ystenlive&Contentid=1000000001000012442$易视腾4M
CCTV-2,http://111.29.9.33:6610/000000001000/1/5000000005000031113.m3u8?stbId=3&livemode=1&HlsProfileId=&channel-id=bestzb&Contentid=5000000005000031113$百视通3.5M
