🎵1月28测试有效,#genre#
今日去除失效1800+,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAg2fWv4gUo9JT7DQ.mp4
保留7440有效频道,https://15799848.s21v.faiusr.com/58/ABUIABA6GAAgvue_4gUomZa1kQU.mp4 
IPV4源会标记(V4),https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240024786285.mp4
IPV6源会标记(V6),https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239903321355.mp4
V6看不了请查看网盘常见问题,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799872402.mp4
确保更新频道地址去除失效,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239880949246.mp4
您的三连是我长期维护的动力,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239858729476.mp4
无偿分享请您知悉,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239755956819.mp4
请不要把源分享给群外人员,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240095359203.mp4
防止源外传，定期更换内部源地址,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240167997205.mp4
内部源请查看群精华信息,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240059400880.mp4
多线路频道组请手动切换线路,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240407847242.mp4
遥控左右菜单可切换线路,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/240062596020.mp4
20个线路涵盖各地区确保所有人可以看,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239799088974.mp4
伍佰挪威的森林(演唱会),http://em.21dtv.com/songs/60032810.mkv
伍佰突然的自我(演唱会),http://em.21dtv.com/songs/60042927.mkv
伍佰美丽新世界(演唱会),http://em.21dtv.com/songs/60029283.mkv
刀郎经典歌曲精选,https://vdse.bdstatic.com//4fcca19a19aa4974230c5ee70ab5fa55.mp4
刘德华世界第一等(演唱会),http://em.21dtv.com/songs/60039259.mkv
刘德华如果有一天(演唱会),http://em.21dtv.com/songs/60036969.mkv
刘德华缠绵(演唱会),http://em.21dtv.com/songs/60012256.mkv
制作不易请给我点赞,https://cloud.video.taobao.com//play/u/57349687/p/1/e/6/t/1/239978750464.mp4
容祖儿+古巨基情义两心坚(演唱会),http://em.21dtv.com/songs/60035407.mkv
容祖儿去火星恋爱(演唱会),http://em.21dtv.com/songs/60035841.mkv
👉Q3群374739884V4,#genre#
CCTV-1综合,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv1
CCTV-2财经,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv2
CCTV-3综艺,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv3
CCTV-4中文国际,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv4
CCTV-4中文国际欧洲,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv4o
CCTV-4中文国际美洲,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv4a
CCTV-5体育,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv5
CCTV-5+体育赛事,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv5p
CCTV-6电影,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv6
CCTV-7国防军事,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv7
CCTV-8电视剧,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv8
CCTV-9纪录,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv9
CCTV-10科教,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv10
CCTV-11戏曲,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv11
CCTV-12社会与法,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv12
CCTV-13新闻,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv13
CCTV-14少儿,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv14
CCTV-15音乐,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv15
CCTV-16奥林匹克,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv16
CCTV-17农业农村,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=cctv17
广东卫视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=gdws
东方卫视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=dfws
江苏卫视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=jsws
陕西卫视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=sxws
大湾区卫视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=dwqws
江西卫视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=jxws
河南卫视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=hnws
东方影视,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=shys
欢笑剧场,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=hxjc
魅力足球,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=mlzq
劲爆体育,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=jbty
七彩戏剧,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=qcxj
游戏风云,https://fmbox.cc/公众号玉玉软件库/tv/migu.php?id=yxfy
💝小白28号正版抓包全国秒播3点失效V4,#genre#
CCTV1,http://mgsp-ws2.live.miguvideo.com:8088/migu/kailu/cctv1hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20250128184622&Channel_ID=0116_2604033000-99000-200300020100001&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=1.62.81.39&SecurityKey=20250128184622&promotionId=A4D08F26-D5E9-4EAA-B590-785EE41C0FDD&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.1.2-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=56be71740cfaf1aae8d92a501020c5d3&is_advertise=0&jid=19ea0f9e96cf98d76909b0f0912c4134&sjid=subsession_1738061182872&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=77e8ac6148229f0cc3cef9b352135ca9&encrypt=177b2fdeabe0960a1eb18a3dce55d0c3

