河源有线,#genre#
河源综合,http://tmpstream.hyrtv.cn/xwzh/sd/live.m3u8
河源公共,http://tmpstream.hyrtv.cn/hygg/sd/live.m3u8
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
重温经典,http://php.jdshipin.com:8880/TVOD/iptv.php?id=cwjd
翡翠台,http://222.128.55.152:9080/live/gdfc.m3u8
中天新聞台,http://222.128.55.152:9080/live/fc.m3u8
台视新聞台,http://222.128.55.152:9080/live/ts.m3u8
广东珠江,http://183.236.32.24:4433/hls/28/index.m3u8
广东卫视,http://183.236.32.24:4433/hls/19/index.m3u8

梅州有线,#genre#
翡翠台,http://huangtong-com.cn:9902/tsfile/live/1007_1.m3u8
明珠台,http://huangtong-com.cn:9902/tsfile/live/1009_1.m3u8
广东卫视,http://huangtong-com.cn:9902/tsfile/live/0125_1.m3u8
广东珠江,http://huangtong-com.cn:9902/tsfile/live/1010_1.m3u8
广东新闻,http://huangtong-com.cn:9902/tsfile/live/1011_1.m3u8
广东民生,http://huangtong-com.cn:9902/tsfile/live/1012_1.m3u8
广东体育,http://huangtong-com.cn:9902/tsfile/live/1013_1.m3u8
经济科教,http://huangtong-com.cn:9902/tsfile/live/1014_1.m3u8
大湾区卫视,http://huangtong-com.cn:9902/tsfile/live/1015_1.m3u8
广东影视,http://huangtong-com.cn:9902/tsfile/live/1016_1.m3u8
广东少儿,http://huangtong-com.cn:9902/tsfile/live/1017_1.m3u8
五华,http://huangtong-com.cn:9902/tsfile/live/1000_1.m3u8
梅州综合,http://huangtong-com.cn:9902/tsfile/live/1003_1.m3u8
CHC家庭电影,http://huangtong-com.cn:9902/tsfile/live/1027_1.m3u8
CHC动作电影,http://huangtong-com.cn:9902/tsfile/live/1028_1.m3u8
CHC影迷电影,http://huangtong-com.cn:9902/tsfile/live/1023_1.m3u8
都市剧场,http://huangtong-com.cn:9902/tsfile/live/1056_1.m3u8
CCTV1,http://huangtong-com.cn:9902/tsfile/live/0001_1.m3u8
CCTV2,http://huangtong-com.cn:9902/tsfile/live/0002_1.m3u8
CCTV3,http://huangtong-com.cn:9902/tsfile/live/0003_1.m3u8
CCTV4,http://huangtong-com.cn:9902/tsfile/live/0004_1.m3u8
CCTV5,http://huangtong-com.cn:9902/tsfile/live/0005_1.m3u8
CCTV5+,http://huangtong-com.cn:9902/tsfile/live/0016_1.m3u8
CCTV6,http://huangtong-com.cn:9902/tsfile/live/0006_1.m3u8
CCTV7,http://huangtong-com.cn:9902/tsfile/live/0007_1.m3u8
CCTV8,http://huangtong-com.cn:9902/tsfile/live/0008_1.m3u8
CCTV9,http://huangtong-com.cn:9902/tsfile/live/0009_1.m3u8
CCTV10,http://huangtong-com.cn:9902/tsfile/live/0010_1.m3u8
CCTV11,http://huangtong-com.cn:9902/tsfile/live/0011_1.m3u8
CCTV12,http://huangtong-com.cn:9902/tsfile/live/0012_1.m3u8
CCTV13,http://huangtong-com.cn:9902/tsfile/live/0013_1.m3u8
CCTV14,http://huangtong-com.cn:9902/tsfile/live/0014_1.m3u8
CCTV15,http://huangtong-com.cn:9902/tsfile/live/0015_1.m3u8
CCTV16,http://huangtong-com.cn:9902/tsfile/live/1008_1.m3u8
CGTN,http://huangtong-com.cn:9902/tsfile/live/1018_1.m3u8
凤凰中文,http://huangtong-com.cn:9902/tsfile/live/1019_1.m3u8
三沙卫视,http://huangtong-com.cn:9902/tsfile/live/1020_1.m3u8
新科动漫,http://huangtong-com.cn:9902/tsfile/live/1021_1.m3u8
怀旧剧场,http://huangtong-com.cn:9902/tsfile/live/1022_1.m3u8
风云剧场,http://huangtong-com.cn:9902/tsfile/live/1024_1.m3u8
谍战剧场,http://huangtong-com.cn:9902/tsfile/live/1025_1.m3u8
相声小品,http://huangtong-com.cn:9902/tsfile/live/1026_1.m3u8
热播剧场,http://huangtong-com.cn:9902/tsfile/live/1029_1.m3u8
嘉佳卡通,http://huangtong-com.cn:9902/tsfile/live/1030_1.m3u8
卡酷少儿,http://huangtong-com.cn:9902/tsfile/live/1031_1.m3u8
金鹰卡通,http://huangtong-com.cn:9902/tsfile/live/1032_1.m3u8
炫动卡通,http://huangtong-com.cn:9902/tsfile/live/1033_1.m3u8
少儿动画,http://huangtong-com.cn:9902/tsfile/live/1034_1.m3u8
浙江卫视,http://huangtong-com.cn:9902/tsfile/live/1035_1.m3u8
江苏卫视高清,http://huangtong-com.cn:9902/tsfile/live/1036_1.m3u8
东方卫视,http://huangtong-com.cn:9902/tsfile/live/1037_1.m3u8
安徽卫视,http://huangtong-com.cn:9902/tsfile/live/1038_1.m3u8
北京卫视,http://huangtong-com.cn:9902/tsfile/live/1039_1.m3u8
天津卫视,http://huangtong-com.cn:9902/tsfile/live/1040_1.m3u8
山东卫视,http://huangtong-com.cn:9902/tsfile/live/1041_1.m3u8
江西卫视,http://huangtong-com.cn:9902/tsfile/live/1042_1.m3u8
深圳卫视,http://huangtong-com.cn:9902/tsfile/live/1043_1.m3u8
湖北卫视,http://huangtong-com.cn:9902/tsfile/live/0132_1.m3u8
辽宁卫视,http://huangtong-com.cn:9902/tsfile/live/1044_1.m3u8
黑龙江卫视,http://huangtong-com.cn:9902/tsfile/live/1045_1.m3u8
贵州卫视,http://huangtong-com.cn:9902/tsfile/live/1046_1.m3u8
