交流Q群,#genre#
434751486,https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
更多资源,https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
进vip群,https://vdse.bdstatic.com//525174705415c8773bd465ce4b88b18d.mp4
央視频道,#genre#
CCTV1,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV2,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV3,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV4,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV5,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV5+,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV6,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV7,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV8,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV9,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV11,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV12,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV13,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV14,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV15,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV16,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV17,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
卫視频道,#genre#
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226450/index.m3u8
天津卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225740/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
浙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225612/index.m3u8
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
深圳卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225739/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
四川卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226338/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
江西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226344/index.m3u8
山西卫视,http://liveflash.sxrtv.com/live/sxwshd.m3u8?sub_m3u8=true&edge_slice=true
山东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226456/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
海南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226465/index.m3u8
宁夏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225632/index.m3u8
陕西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226457/index.m3u8
吉林卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226397/index.m3u8
辽宁卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226546/index.m3u8
西藏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225638/index.m3u8
内蒙古卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225634/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
广西卫视,http://39.134.67.108/PLTV/88888888/224/3221226024/1.m3u8
地方频道,#genre#
浙江新闻,https://ali-m-l.cztv.com/channels/lantian/channel007/1080p.m3u8
浙江国际,https://ali-m-l.cztv.com/channels/lantian/channel010/1080p.m3u8
浙江少儿,https://ali-m-l.cztv.com/channels/lantian/channel008/1080p.m3u8
浙江教科,https://ali-m-l.cztv.com/channels/lantian/channel004/1080p.m3u8
之江纪录,https://ali-m-l.cztv.com/channels/lantian/channel012/1080p.m3u8
浙江民生,https://ali-m-l.cztv.com/channels/lantian/channel006/1080p.m3u8
浙江经济,https://ali-m-l.cztv.com/channels/lantian/channel003/1080p.m3u8
浙江钱江,https://ali-m-l.cztv.com/channels/lantian/channel002/1080p.m3u8




4 G 台湾,#genre#
民视台湾台,http://litv.zapi.us.kg/?id=4gtv-4gtv001
民视,http://litv.zapi.us.kg/?id=4gtv-4gtv002
民视第一台,http://litv.zapi.us.kg/?id=4gtv-4gtv003
民视综艺,http://litv.zapi.us.kg/?id=4gtv-4gtv004
猪哥亮歌厅秀,http://litv.zapi.us.kg/?id=4gtv-4gtv006
中天新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv009
非凡新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv010
影迷數位電影台,http://litv.zapi.us.kg/?id=4gtv-4gtv011
視納華仁紀實頻道,http://litv.zapi.us.kg/?id=4gtv-4gtv013
时尚运动X,http://litv.zapi.us.kg/?id=4gtv-4gtv014
GLOBETROTTER,http://litv.zapi.us.kg/?id=4gtv-4gtv016
amc电影台,http://litv.zapi.us.kg/?id=4gtv-4gtv017
达文西频道,http://litv.zapi.us.kg/?id=4gtv-4gtv018
八大精彩台,http://litv.zapi.us.kg/?id=4gtv-4gtv034
八大综艺台,http://litv.zapi.us.kg/?id=4gtv-4gtv039
中视,http://litv.zapi.us.kg/?id=4gtv-4gtv040
华视,http://litv.zapi.us.kg/?id=4gtv-4gtv041
公视戏剧,http://litv.zapi.us.kg/?id=4gtv-4gtv042
客家电视台,http://litv.zapi.us.kg/?id=4gtv-4gtv043
靖天卡通台,http://litv.zapi.us.kg/?id=4gtv-4gtv044
靖洋戏剧台,http://litv.zapi.us.kg/?id=4gtv-4gtv045
靖天综合台,http://litv.zapi.us.kg/?id=4gtv-4gtv046
靖天日本台,http://litv.zapi.us.kg/?id=4gtv-4gtv047
非凡商业,http://litv.zapi.us.kg/?id=4gtv-4gtv048
采昌影剧,http://litv.zapi.us.kg/?id=4gtv-4gtv049
台视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv051
华视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv052
GinxTV,http://litv.zapi.us.kg/?id=4gtv-4gtv053
靖天欢乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv054
靖天映画,http://litv.zapi.us.kg/?id=4gtv-4gtv055
台视财经,http://litv.zapi.us.kg/?id=4gtv-4gtv056
靖洋卡通台,http://litv.zapi.us.kg/?id=4gtv-4gtv057
靖天戏剧台,http://litv.zapi.us.kg/?id=4gtv-4gtv058
古典音乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv059
靖天电影台,http://litv.zapi.us.kg/?id=4gtv-4gtv061
靖天育乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv062
靖天国际台,http://litv.zapi.us.kg/?id=4gtv-4gtv063
中视菁采,http://litv.zapi.us.kg/?id=4gtv-4gtv064
靖天资讯台,http://litv.zapi.us.kg/?id=4gtv-4gtv065
台视,http://litv.zapi.us.kg/?id=4gtv-4gtv066
tvbs精采台,http://litv.zapi.us.kg/?id=4gtv-4gtv067
tvbs欢乐台,http://litv.zapi.us.kg/?id=4gtv-4gtv068
爱尔达娱乐,http://litv.zapi.us.kg/?id=4gtv-4gtv070
tvbs新闻台,http://litv.zapi.us.kg/?id=4gtv-4gtv072
tvbs,http://litv.zapi.us.kg/?id=4gtv-4gtv073
中视新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv074
镜新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv075
CATCHPLAY电影台,http://litv.zapi.us.kg/?id=4gtv-4gtv076
TRACE SPORTS STARS,http://litv.zapi.us.kg/?id=4gtv-4gtv077
阿里郎,http://litv.zapi.us.kg/?id=4gtv-4gtv079
中视经典,http://litv.zapi.us.kg/?id=4gtv-4gtv080
TRACE URBAN,http://litv.zapi.us.kg/?id=4gtv-4gtv082
MEZZO LIVE,http://litv.zapi.us.kg/?id=4gtv-4gtv083
国会频道1,http://litv.zapi.us.kg/?id=4gtv-4gtv084
国会频道2,http://litv.zapi.us.kg/?id=4gtv-4gtv085
智林体育台,http://litv.zapi.us.kg/?id=4gtv-4gtv101
国际财经,http://litv.zapi.us.kg/?id=4gtv-4gtv104
第1商業台,http://litv.zapi.us.kg/?id=4gtv-4gtv109
东森新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv152
东森财经新闻,http://litv.zapi.us.kg/?id=4gtv-4gtv153
民视,http://litv.zapi.us.kg/?id=4gtv-4gtv155
民视台湾台,http://litv.zapi.us.kg/?id=4gtv-4gtv156
美国之音,http://litv.zapi.us.kg/?id=litv-ftv03
民视旅游,http://litv.zapi.us.kg/?id=litv-ftv07
民视影剧,http://litv.zapi.us.kg/?id=litv-ftv09
半岛新闻,http://litv.zapi.us.kg/?id=litv-ftv10
民视新闻台,http://litv.zapi.us.kg/?id=litv-ftv13
爱放动漫,http://litv.zapi.us.kg/?id=litv-ftv15
好消息,http://litv.zapi.us.kg/?id=litv-ftv16
好消息2台,http://litv.zapi.us.kg/?id=litv-ftv17
龙华卡通,http://litv.zapi.us.kg/?id=litv-longturn01
龙华电影,http://litv.zapi.us.kg/?id=litv-longturn03
博斯魅力,http://litv.zapi.us.kg/?id=litv-longturn04
博斯高球1,http://litv.zapi.us.kg/?id=litv-longturn05
博斯高球2,http://litv.zapi.us.kg/?id=litv-longturn06
博斯运动1,http://litv.zapi.us.kg/?id=litv-longturn07
博斯运动2,http://litv.zapi.us.kg/?id=litv-longturn08
博斯网球,http://litv.zapi.us.kg/?id=litv-longturn09
博斯无限,http://litv.zapi.us.kg/?id=litv-longturn10
龙华日韩,http://litv.zapi.us.kg/?id=litv-longturn11
龙华偶像,http://litv.zapi.us.kg/?id=litv-longturn12
博斯无限2,http://litv.zapi.us.kg/?id=litv-longturn13
寰宇新闻台,http://litv.zapi.us.kg/?id=litv-longturn14
寰宇新闻台湾台,http://litv.zapi.us.kg/?id=litv-longturn15
亚洲旅游台,http://litv.zapi.us.kg/?id=litv-longturn17
龙华戏剧,http://litv.zapi.us.kg/?id=litv-longturn18
Smart知识台,http://litv.zapi.us.kg/?id=litv-longturn19
