咪咕央卫IPV4,#genre#
CCTV-1,http://goo.bkpcp.top/mg/cctv1
CCTV-2,http://goo.bkpcp.top/mg/cctv2
CCTV-3,http://goo.bkpcp.top/mg/cctv3
CCTV-4,http://goo.bkpcp.top/mg/cctv4
CCTV-4欧洲,http://goo.bkpcp.top/mg/cctv4o
CCTV-4美洲,http://goo.bkpcp.top/mg/cctv4a
CCTV-5,http://goo.bkpcp.top/mg/cctv5
CCTV-5+,http://goo.bkpcp.top/mg/cctv5p
CCTV-6,http://goo.bkpcp.top/mg/cctv6
CCTV-7,http://goo.bkpcp.top/mg/cctv7
CCTV-8,http://goo.bkpcp.top/mg/cctv8
CCTV-9,http://goo.bkpcp.top/mg/cctv9
CCTV-10,http://goo.bkpcp.top/mg/cctv10
CCTV-11,http://goo.bkpcp.top/mg/cctv11
CCTV-12,http://goo.bkpcp.top/mg/cctv12
CCTV-13,http://goo.bkpcp.top/mg/cctv13
CCTV-14,http://goo.bkpcp.top/mg/cctv14
CCTV-15,http://goo.bkpcp.top/mg/cctv15
CCTV-17,http://goo.bkpcp.top/mg/cctv17
东方影视,http://goo.bkpcp.top/mg/dfys
周杰伦现场,http://goo.bkpcp.top/mg/zjlxc
东方卫视,http://goo.bkpcp.top/mg/dfws
江苏卫视,http://goo.bkpcp.top/mg/jsws
广东卫视,http://goo.bkpcp.top/mg/gdws
大湾区卫视,http://goo.bkpcp.top/mg/dwqws
海南卫视,http://goo.bkpcp.top/mg/hinws
吉林卫视,http://goo.bkpcp.top/mg/jlws
青海卫视,http://goo.bkpcp.top/mg/qhws
陕西卫视,http://goo.bkpcp.top/mg/sxws
湖北卫视,http://goo.bkpcp.top/mg/hubws
江西卫视,http://goo.bkpcp.top/mg/jxws
四海钓鱼,http://goo.bkpcp.top/mg/shdy
江苏教育,http://goo.bkpcp.top/mg/jsjy
山东教育,http://goo.bkpcp.top/mg/sdjy
欢笑剧场,http://goo.bkpcp.top/mg/hxjc
军事迷必看大片,http://goo.bkpcp.top/mg/jsdp
上海新闻综合,http://goo.bkpcp.top/mg/shxwzh
上海第一财,http://goo.bkpcp.top/mg/dycj
纪实人文,http://goo.bkpcp.top/mg/shjsrw
上海外语,http://goo.bkpcp.top/mg/shics
法治天地,http://goo.bkpcp.top/mg/fztd
东方影视,http://goo.bkpcp.top/mg/=dfys
上海新闻综合,http://goo.bkpcp.top/mg/=shxwzh
上海第一财,http://goo.bkpcp.top/mg/=dycj
纪实人文,http://goo.bkpcp.top/mg/=shjsrw
上海外语,http://goo.bkpcp.top/mg/=shics
法治天地,http://goo.bkpcp.top/mg/=fztd
中央新影-发现之旅,http://goo.bkpcp.top/mg/fxzl
中央新影-老故事,http://goo.bkpcp.top/mg/lgs
中央新影-中学生,http://goo.bkpcp.top/mg/zxs
CGTN纪录,http://goo.bkpcp.top/mg/cgtnjl
CGTN西语,http://goo.bkpcp.top/mg/cgtne
CGTN阿语,http://goo.bkpcp.top/mg/cgtna
CGTN法语,http://goo.bkpcp.top/mg/cgtnf
CGTN俄语,http://goo.bkpcp.top/mg/cgtnr
