央视QQ群197853033分享,#genre#
央视1,http://alimov6.a.yximgs.com/ksc1/hRabsJoyqsMxcwnzmAEfPKopBT941tdD7HMA42EfzV3f9cfJLwwW73HyzFQibxEwvm_44IaH3ryiWbBQMOY-pfRj-UndNPjyq7lzY4c85uarWGDW6AE4JtUv3RhpO8M1n7i-GR1pPp3WYQBr0pSS4JZ7GzSnLxbgx9wZbIdhZ7M0-eb6C6gTQQf6kPiadzIK.mp4?tag=1-1739095099-unknown-0-5967be10b83044ab-3d4b358efb604372&clientCacheKey=3x3vbeymiyi4seu_b.mp4&tt=b&di=df65dddc&bp=11851
CCTV-1,http://58.19.38.162:9901/tsfile/live/1000_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-2,http://58.19.38.162:9901/tsfile/live/1001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-3,http://58.19.38.162:9901/tsfile/live/1002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-4,http://58.19.38.162:9901/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-5,http://219.135.180.210:18888/hls/5/index.m3u8
CCTV-6,http://58.19.38.162:9901/tsfile/live/1005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-7,http://58.19.38.162:9901/tsfile/live/1006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://58.19.38.162:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-16,http://219.135.180.210:18888/hls/31/index.m3u8
CCTV-17,http://219.135.180.210:18888/hls/24/index.m3u8

香港QQ群197853033分享,#genre#
香港卫视,http://anren.live/HK/BSJDUFpB.m3u8
翡翠台,https://cdn.iptv8k.top/dl/jrys.php?id=3&time=20240926215313&ip=111.229.253.40

卫视QQ群197853033分享,#genre#
甘肃卫视,https://hls.gstv.com.cn/9hvng2/5gd714.m3u8
海南卫视,http://61.138.128.226:19901/tsfile/live/1015_1.m3u8
辽宁卫视,http://61.138.128.226:19901/tsfile/live/0121_1.m3u8
内蒙古卫视,http://121.19.134.222:808/tsfile/live/0109_1.m3u8
内蒙古卫视,http://61.138.128.226:19901/tsfile/live/0109_1.m3u8
宁夏卫视,http://61.138.128.226:19901/tsfile/live/0112_1.m3u8
山西卫视,http://61.138.128.226:19901/tsfile/live/0118_1.m3u8
西藏卫视,http://61.138.128.226:19901/tsfile/live/0111_1.m3u8
新疆卫视,http://106.124.91.222:9901/tsfile/live/21212_1.m3u8
云南卫视,https://hwapi.yntv.net/62hdvf/41hse3.m3u8
康巴卫视,http://61.157.139.15:9901/tsfile/live/2415_1.m3u8?key=txiptv&playlive=1&authid=0
康巴卫视,http://218.89.240.144:59901/tsfile/live/1010_1.m3u8
厦门卫视,http://123.132.233.194:352/tsfile/live/0119_1.m3u8
厦门卫视,http://124.128.73.58:9901/tsfile/live/0129_1.m3u8?key=txiptv&playlive=1&authid=0
延边卫视,http://61.138.128.226:19901/tsfile/live/1008_1.m3u8
