💢央视,#genre#
CETV03教育无影,https://piccpndali.v.myalicdn.com/audio/cetv3_2.m3u8
CGTN央视环球台,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8
CCTV-风云 剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV-女性 时尚,http://dassby.qqff.top:99/live/女性时尚/index.m3u8
CCTV-书画 频道,http://211.103.180.178:8233/live_hls/hdmi.m3u8
📡卫视,#genre#
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
✅影视,#genre#
斗鱼电影01,http://tc-tct.douyucdn2.cn/dyliveflv1/122402rK7MO9bXSq_2000.flv?wsAuth=8cea39337984fd3341cc9ec569502e4f&token=cpn-androidmpro-0-122402-0fcea45d2300cfa0ac75fafd8679bb53af10de8c33ae99d9&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
斗鱼电影02,http://tc-tct.douyucdn2.cn/dyliveflv1a/20415rnWbjg6Ex1K_2000.flv?wsAuth=2ccc7b4ba29208aaba62dae54cbbd68c&token=cpn-androidmpro-0-20415-b6774b3b3249db17fff84d73c7585c95e780dbccdb08e4bc&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=p
斗鱼电影03,http://tc-tct.douyucdn2.cn/dyliveflv1/85894rmovieChow_2000.flv?wsAuth=7d054e041804e80af8aa7e975e2d8573&token=cpn-androidmpro-0-85894-a3575d938a4aa309c687f5fb85a1009fc65cfbeeb2672310&logo=0&expire=0&did=d010b07dcb997ada9934081c873542f0&origin=tct&vhost=pla
1905国内d,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外d,http://php.jdshipin.com:8880/1905.php?id=1905dy2
重温经典剧,http://mtw.so/5NPX0U
📽怀旧,#genre#
电影少林寺,http://uptt.gcwduoduo.com/webup/220716/cadcf1093a8873377dabf576d6318e45.mp4
少林小子片,http://uptt.gcwduoduo.com/webup/220716/4ec6d242079fa332891d09f3b8db3071.mp4
南北少林片,http://uptt.gcwduoduo.com/v/210309/7007f4d54f2ebc09af78f28a09d04acd.mp4
少林俗家弟,http://uptt.gcwduoduo.com/webup/220716/90afe2526447d486663868d300cf8b3f.mp4
少林英雄榜,http://uptt.gcwduoduo.com/webup/220716/47cd03f07deae1240eb3cfd3be11399e.mp4
