蛇年贺岁,#genre#

祝愿蛇年大吉,http://rihou.cc:555/mp4?id=lndjllll.mp4

全年恭喜发财,http://rihou.cc:555/mp4?id=2025a.mp4

全粤音乐串烧,http://rihou.cc:555/mp4?id=2025b.mp4

MTV欣赏,#genre#

无情-若心,https://vdse.bdstatic.com//8c3e6535b1b1b67e85a02a5d66b124ef.mp4
一个路人-张梦弘,https://vdse.bdstatic.com//2b985808630e6210244f14c10fc2bfab.mp4
苹果香-黑大婶,https://vd3.bdstatic.com/mda-qgaj93dj9x88h5t5/hd/cae_h264/1720705165541140884/mda-qgaj93dj9x88h5t5.mp4
人间半途-韩小欠,https://vdse.bdstatic.com//3480c5b471af7353a02617456d5b0a5e.mp4
安和桥-安西,https://vdse.bdstatic.com//509895890e5131ff5b39fd83b1f546a2.mp4
遇上你是我的缘-陈晓竹,https://vdse.bdstatic.com//73d93d19e0b9516f2df0792c3556b3e5.mp4
乌兰巴托的夜-洋澜一,https://vdse.bdstatic.com//604a5a5431e162005c2841fb53a36c97.mp4
春庭雪-等什么君,https://vdse.bdstatic.com//0582b3bd45c7dc73d3144bd54d2f377a.mp4
赤伶-等什么君,https://vdse.bdstatic.com//810fae68a44ca7579c2d7cb2f90ec3ef.mp4
会开花的云-王樾安,https://vdse.bdstatic.com//1d83954522a4a142281b8e1445992845.mp4
我期待的不是雪-张妙格,https://vd2.bdstatic.com/mda-qb45sac8anwh1376/hd/cae_h264/1707204551077041569/mda-qb45sac8anwh1376.mp4
离别开出花-南方凯,https://vd3.bdstatic.com/mda-pms0b2krq29xxie5/576p/h264/1703636201046768461/mda-pms0b2krq29xxie5.mp4
不如见一面-海来阿木,https://vd4.bdstatic.com/mda-pk8i94s59fhrp8vz/hd/cae_h264/1699750729441701256/mda-pk8i94s59fhrp8vz.mp4
我想要-小阿七,https://vd4.bdstatic.com/mda-pch4gnhbtua84gz6/576p/h264/1679109130495132516/mda-pch4gnhbtua84gz6.mp4
笼-张碧晨,https://vdse.bdstatic.com//4bdcb4bcdbe1e694e556fd42159a165b.mp4
黑月光-张碧晨、毛不易,https://vdse.bdstatic.com//db9fa2ffce30c8bce8959b5a8856cfa1.mp4
不染-毛不易,https://vd4.bdstatic.com/mda-pdma03c1m301kvfx/hd/cae_h264/1682172653714015934/mda-pdma03c1m301kvfx.mp4
雨中的恋人们-黄凯芹,https://vd3.bdstatic.com/mda-miqfg6axm8kf2a68/hd/cae_h264/1632567825678633121/mda-miqfg6axm8kf2a68.mp4
一千个伤心的理由-王俊、余乐,https://vd3.bdstatic.com/mda-marm2117gk8nww0i/sc/cae_h264_nowatermark/1611644958/mda-marm2117gk8nww0i.mp4
目及皆是你-小蓝背心,https://vd3.bdstatic.com/mda-mhey8x4if9w5twqu/hd/cae_h264/1629068421848670164/mda-mhey8x4if9w5twqu.mp4
我期待的不是雪-张妙格,https://vdse.bdstatic.com//c6d87b2dec588bd4041ab7fc63eb9b4d.mp4
freeloop-天然卷夏祭,https://vd3.bdstatic.com/mda-pb6cmxqdpjh7p1a4/sc/cae_h264/1675774662439529962/mda-pb6cmxqdpjh7p1a4.mp4
黎明前的黑暗-白沐,https://vdse.bdstatic.com//0c147656ff124aae8b53d0fb832c4bdd.mp4
堕-戴羽彤,https://vd3.bdstatic.com/mda-pe8yinxx1y1dpsxk/720p/h264/1683673132967321820/mda-pe8yinxx1y1dpsxk.mp4
海市蜃楼-一颗狼星,https://vd3.bdstatic.com/mda-pcp5fx5bfrctx9pu/sc/cae_h264/1679635523924099179/mda-pcp5fx5bfrctx9pu.mp4
落在生命里的光-尹昔眠,https://vdse.bdstatic.com//5fd4b2da5893e8582789452fa395ab59.mp4
是你-梦然,https://vdse.bdstatic.com//f5fc719eff9f5bdb2ce15147dfc76b3c.mp4
征途-张杰,https://vdse.bdstatic.com//f4818f131b890e065df16b6fdb173c46.mp4
时光洪流-程响,https://vd3.bdstatic.com/mda-pdd8msvmqi6svxjg/sc/cae_h264/1681466855589135211/mda-pdd8msvmqi6svxjg.mp4
人间烟火-程响,https://vd3.bdstatic.com/mda-nia9gqywiryyn8pk/576p/h264/1662878654763005591/mda-nia9gqywiryyn8pk.mp4
可能-程响,https://vd3.bdstatic.com/mda-pd369avvets19gch/sc/cae_h264/1680582897997490362/mda-pd369avvets19gch.mp4
流光飞舞-刘惜君,https://vdse.bdstatic.com//6d264d7f88af58131b764dfa5f6b9b48.mp4
缘起-周深(青蛇1),https://vdse.bdstatic.com//aeb0616f23b8eb3566777e1e8c17b8ae.mp4
问花–周深(青蛇2),https://vd2.bdstatic.com/mda-mke7uj3851bdey5f/hd/cae_h264/1636959252058792218/mda-mke7uj3851bdey5f.mp4
