最新软件密码,#genre#
直播源日期1月5号,http://vodcdn.video.taobao.com/oss/ali-video/fe68ff471420aaefcb3a7f4f413ad3f4/video.m3u8
测试频道,#genre#
盲盒台,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/代理文件/代理文件.php?ID=1
盲盒台1,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/代理文件/代理文件.php?ID=2
盲盒台2,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/代理文件/代理文件.php?ID=3
央卫IPV4_0066,#genre#
重温经典,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/代理文件/代理文件.php?ID=重温经典
重温经典,http://ali.hlspull.yximgs.com/live/awei_cwjd.flv
CCTV-1HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/1/index.m3u8
CCTV-2HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/2/index.m3u8
CCTV-3HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/3/index.m3u8
CCTV-4HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/4/index.m3u8
CCTV-5HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/5/index.m3u8
CCTV-5+HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/6/index.m3u8
CCTV-6HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/7/index.m3u8
CCTV-7HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/8/index.m3u8
CCTV-8HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/9/index.m3u8
CCTV-9HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/10/index.m3u8
CCTV-10HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/11/index.m3u8
CCTV-11HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/12/index.m3u8
CCTV-12HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/13/index.m3u8
CCTV-13HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/14/index.m3u8
CCTV-14HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/15/index.m3u8
CCTV-15HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/16/index.m3u8
湖南卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/18/index.m3u8
浙江卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/19/index.m3u8
东方卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/20/index.m3u8
江苏卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/21/index.m3u8
北京卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/22/index.m3u8
安徽卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/23/index.m3u8
天津卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/24/index.m3u8
辽宁卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/25/index.m3u8
深圳卫视HD,http://156.238.253.62:5555/tvbox/公众号好享生活小助手/山东酒店源扫描/山东酒店源扫描.php?ID=hls/26/index.m3u8
