QQ708575690群,#genre#
CCTV-01 综合,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226016/index.m3u8
CCTV-02 财经,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV-03 综艺,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV-04 中文,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV-05 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226019/index.m3u8
CCTV+5+ 体育,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225603/index.m3u8
CCTV-06 电影,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV-07 国防,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV-08 电视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV-09 纪录,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV-10 科教,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225730/index.m3u8
CCTV-11 戏曲,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225597/index.m3u8
CCTV-12 社会,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225731/index.m3u8
CCTV-13 新闻,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226011/index.m3u8
CCTV-14 少儿,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225732/index.m3u8
CCTV-15 音乐,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225601/index.m3u8
CCTV-16 奥林,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226100/index.m3u8
CCTV-17 农业,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8

 
💝全国通用,#genre#
CCTV1,http://hlsztemgsplive.miguvideo.com:8080/migu/kailu/cctv1hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=2201057821&pid=2028597139&timestamp=20250217171623&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=608807420&ParentNodeID=-99&assertID=2201057821&client_ip=113.5.161.182&SecurityKey=20250217171623&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=2201057821&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=3d6c4b6498e50549b0b77318ac3c4e25&sv=10003&ct=ios&playUrlSsn=6856755081943cf40aca9938b83d6821&is_advertise=0&jid=50de27656d0cd24f334f764bdc9ac382&sjid=subsession_1739783783097&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=8e7dd4e80509116d3ccc806e3bea0a3a

CCTV2,http://hlszymgsplive.miguvideo.com:8080/migu/kailu/cctv2hd265/55/20200407/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500346945&pid=2028597139&timestamp=20250217171712&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=63178053220250217026&ParentNodeID=-99&assertID=5500346945&client_ip=113.5.161.182&SecurityKey=20250217171712&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5101064231&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&mtv_session=1e3873149bf0a8c01851ab91f93b178a&sv=10003&ct=ios&playUrlSsn=ed99aa52879b441e967bc4f5c5842eea&is_advertise=0&jid=b96a86ef25f6be8c38d837145a85fc07&sjid=subsession_1739783832111&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=9d0ce17d60c64ffc75e1de8bb2310d67

CCTV3,http://hlsztemgsplive.miguvideo.com:8080/wd_r2/ocn/cctv3hd/3000/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500212864&pid=2028597139&timestamp=20250217171728&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=62487827120250217020&ParentNodeID=-99&assertID=5500212864&client_ip=113.5.161.182&SecurityKey=20250217171728&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5100001683&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h264&bean=mgspios&tid=ios&conFee=0&mtv_session=ac95f954b0f385f08e6ba41b6b094a23&sv=10003&ct=ios&playUrlSsn=e0f24914b233905ea444b78ce279ab60&is_advertise=0&jid=3a6028dc967da54a7403ed92ee8c4417&sjid=subsession_1739783848484&HlsSubType=1&HlsProfileId=1&nphaid=0&encrypt=51f01ee4173c3345b8b8b651279547df

CCTV4,http://mgsp-yx2.live.miguvideo.com:8088/migu/kailu/cctv4hd265/57/20191230/01.m3u8?msisdn=e6cc1794f6fcadb3bdaddc7e9925b09b&mdspid=&spid=699004&netType=4&sid=5500346947&pid=2028597139&timestamp=20250217171742&Channel_ID=0116_2604034500-99000-200300020100001&ProgramID=63178042120250217030&ParentNodeID=-99&assertID=5500346947&client_ip=113.5.161.182&SecurityKey=20250217171742&promotionId=06B55153-6AD3-42A0-B61D-D27B56746E07&mvid=5101064235&mcid=500020&playurlVersion=WX-A1-8.2.1-RELEASE&userid=1131718435&jmhm=e6cc1794f6fcadb3bdaddc7e9925b09b&videocodec=h265&bean=mgspios&tid=ios&conFee=0&sv=10003&ct=ios&playUrlSsn=2b28fce5adad71a96420c65eaf0c67ad&is_advertise=0&jid=d5e833c0ddd546123ff6dd85fb4f31ea&sjid=subsession_1739783862231&HlsSubType=1&HlsProfileId=1&nphaid=0&mtv_session=c76dc7c143c4490603ac1c29847fc4e7&encrypt=feb5eb05d3901d9128e0f74772db2e7d

