💥暮雨｜直播,#genre#
qq①群665170710,https://bfikuncdn.com/20221210/TyfKXxdC/index.m3u8
qq②群1020904816,https://bfikuncdn.com/20221210/kxn48SfQ/index.m3u8
qq③群812391346,https://bfikuncdn.com/20221209/qR35tZJy/index.m3u8
💥VIP频道｜测试,#genre#
1905国内电影,http://php.jdshipin.com:8880/1905.php?id=1905dy
1905国外电影,http://php.jdshipin.com:8880/1905.php?id=1905dy2
中天新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv009
东森新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv152
tvbs新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv072
寰宇新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn14
非凡新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv010
闽镜新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv075
民视新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv13
中视新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv074
华视新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv052
台视新闻4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv051
民视闽南4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv002
民视闽南4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv155
中视闽南4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv040
华视闽南4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv041
台视闽南4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv066
寰宇闽南4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn15
tvbs闽南4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv073
民视台湾4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv001
民视台湾4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv156
民视第一4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv003
民视旅游4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv07
民视影剧4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv09
民视综艺4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv004
中视菁采4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv064
中视经典4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv080
台视财经4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv056
公视戏剧4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv042
闽南戏剧4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn22
国际财经4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv104
东森财经4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv153
tvbs精采4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv067
tvbs欢乐4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv068
八大精彩4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv034
八大综艺4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv039
爱达娱乐4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv070
靖洋戏剧4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv045
靖洋卡通4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv057
靖天卡通4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv044
靖天综合4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv046
靖天日本4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv047
靖天欢乐4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv054
靖天映画4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv055
靖天戏剧4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv058
靖天电影4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv061
靖天育乐4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv062
靖天国际4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv063
靖天资讯4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv065
龙华卡通4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn01
龙华日韩4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn11
龙华偶像4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn12
龙华电影4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn03
龙华戏剧4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn18
龙华经典4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn21
国会频壹4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv084
国会频贰4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv085
好消息壹4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv16
好消息贰4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-ftv17
智林体育4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=4gtv-4gtv101
博斯魅力4Gtv,https://iptv.vip-tptv.xyz/litv.php?id=litv-longturn04
