北方广电,#genre#
CCTV1综合,http://tvbox6.com/tv/bfgd.php?id=488$北方广电
CCTV2财经,http://tvbox6.com/tv/bfgd.php?id=061$北方广电
CCTV3综艺,http://tvbox6.com/tv/bfgd.php?id=062$北方广电
CCTV4中文国际,http://tvbox6.com/tv/bfgd.php?id=063$北方广电
CCTV5体育,http://tvbox6.com/tv/bfgd.php?id=064$北方广电
CCTV5+体育赛事,http://tvbox6.com/tv/bfgd.php?id=246$北方广电
CCTV6电影,http://tvbox6.com/tv/bfgd.php?id=065$北方广电
CCTV7国防军事,http://tvbox6.com/tv/bfgd.php?id=127$北方广电
CCTV8电视剧,http://tvbox6.com/tv/bfgd.php?id=066$北方广电
CCTV9纪录,http://tvbox6.com/tv/bfgd.php?id=128$北方广电
CCTV10科教,http://tvbox6.com/tv/bfgd.php?id=129$北方广电
CCTV11戏曲,http://tvbox6.com/tv/bfgd.php?id=130$北方广电
CCTV12社会与法,http://tvbox6.com/tv/bfgd.php?id=131$北方广电
CCTV13新闻,http://tvbox6.com/tv/bfgd.php?id=067$北方广电
CCTV14少儿,http://tvbox6.com/tv/bfgd.php?id=132$北方广电
CCTV15音乐,http://tvbox6.com/tv/bfgd.php?id=133$北方广电
CCTV17农业农村,http://tvbox6.com/tv/bfgd.php?id=204$北方广电

江苏卫视,http://tvbox6.com/tv/bfgd.php?id=085
天津卫视,http://tvbox6.com/tv/bfgd.php?id=084
湖南卫视,http://tvbox6.com/tv/bfgd.php?id=086
北京卫视,http://tvbox6.com/tv/bfgd.php?id=083
黑龙江卫视,http://tvbox6.com/tv/bfgd.php?id=095
广东卫视,http://tvbox6.com/tv/bfgd.php?id=092
东方卫视,http://tvbox6.com/tv/bfgd.php?id=093
浙江卫视,http://tvbox6.com/tv/bfgd.php?id=094
吉林卫视,http://tvbox6.com/tv/bfgd.php?id=097
安徽卫视,http://tvbox6.com/tv/bfgd.php?id=096
江西卫视,http://tvbox6.com/tv/bfgd.php?id=098
山东卫视,http://tvbox6.com/tv/bfgd.php?id=099
贵州卫视,http://tvbox6.com/tv/bfgd.php?id=101
深圳卫视,http://tvbox6.com/tv/bfgd.php?id=100
湖北卫视,http://tvbox6.com/tv/bfgd.php?id=102
四川卫视,http://tvbox6.com/tv/bfgd.php?id=103
陕西卫视,http://tvbox6.com/tv/bfgd.php?id=512
河南卫视,http://tvbox6.com/tv/bfgd.php?id=339
海南卫视,http://tvbox6.com/tv/bfgd.php?id=473
云南卫视,http://tvbox6.com/tv/bfgd.php?id=482
东南卫视,http://tvbox6.com/tv/bfgd.php?id=483
河南卫视,http://tvbox6.com/tv/bfgd.php?id=104
北京卡酷少儿,http://tvbox6.com/tv/bfgd.php?id=106
重庆卫视,http://tvbox6.com/tv/bfgd.php?id=107
山西卫视,http://tvbox6.com/tv/bfgd.php?id=109
河北卫视,http://tvbox6.com/tv/bfgd.php?id=108
青海卫视,http://tvbox6.com/tv/bfgd.php?id=111
内蒙古卫视,http://tvbox6.com/tv/bfgd.php?id=110
山东教育卫视,http://tvbox6.com/tv/bfgd.php?id=112
北京纪实科教,http://tvbox6.com/tv/bfgd.php?id=113
广西卫视,http://tvbox6.com/tv/bfgd.php?id=116
云南卫视,http://tvbox6.com/tv/bfgd.php?id=115
宁夏卫视,http://tvbox6.com/tv/bfgd.php?id=118
陕西卫视,http://tvbox6.com/tv/bfgd.php?id=114
延边卫视,http://tvbox6.com/tv/bfgd.php?id=117
甘肃卫视,http://tvbox6.com/tv/bfgd.php?id=119
西藏卫视,http://tvbox6.com/tv/bfgd.php?id=121
农林卫视,http://tvbox6.com/tv/bfgd.php?id=122
兵团卫视,http://tvbox6.com/tv/bfgd.php?id=124
CETV-1,http://tvbox6.com/tv/bfgd.php?id=135
CETV-2,http://tvbox6.com/tv/bfgd.php?id=492
CGTN,http://tvbox6.com/tv/bfgd.php?id=134
CGTN西班牙语,http://tvbox6.com/tv/bfgd.php?id=306
CGTN阿拉伯语,http://tvbox6.com/tv/bfgd.php?id=308
CGTN法语,http://tvbox6.com/tv/bfgd.php?id=307
CGTN俄语,http://tvbox6.com/tv/bfgd.php?id=309
求索动物,http://tvbox6.com/tv/bfgd.php?id=287
求索生活,http://tvbox6.com/tv/bfgd.php?id=288
求索地理,http://tvbox6.com/tv/bfgd.php?id=286
家庭影院,http://tvbox6.com/tv/bfgd.php?id=289
家庭剧场,http://tvbox6.com/tv/bfgd.php?id=290
外国影院,http://tvbox6.com/tv/bfgd.php?id=291
综艺,http://tvbox6.com/tv/bfgd.php?id=292
午夜影院,http://tvbox6.com/tv/bfgd.php?id=294
纪录片,http://tvbox6.com/tv/bfgd.php?id=295
游戏竞技,http://tvbox6.com/tv/bfgd.php?id=296
儿童动漫,http://tvbox6.com/tv/bfgd.php?id=293
3D影院,http://tvbox6.com/tv/bfgd.php?id=298
绘画,http://tvbox6.com/tv/bfgd.php?id=297
网络棋牌,http://tvbox6.com/tv/bfgd.php?id=141
环球旅游,http://tvbox6.com/tv/bfgd.php?id=147
车迷频道,http://tvbox6.com/tv/bfgd.php?id=146
生态环境,http://tvbox6.com/tv/bfgd.php?id=149
发现之旅,http://tvbox6.com/tv/bfgd.php?id=151
优优宝贝,http://tvbox6.com/tv/bfgd.php?id=153
新疆卫视,http://tvbox6.com/tv/bfgd.php?id=150
收藏天下,http://tvbox6.com/tv/bfgd.php?id=155
中华特产,http://tvbox6.com/tv/bfgd.php?id=158
法治天地,http://tvbox6.com/tv/bfgd.php?id=162
电视指南,http://tvbox6.com/tv/bfgd.php?id=164
重庆汽摩,http://tvbox6.com/tv/bfgd.php?id=168
国学频道,http://tvbox6.com/tv/bfgd.php?id=169
老故事,http://tvbox6.com/tv/bfgd.php?id=166
女性时尚,http://tvbox6.com/tv/bfgd.php?id=176
世界地理,http://tvbox6.com/tv/bfgd.php?id=177
茶频道,http://tvbox6.com/tv/bfgd.php?id=181
书画,http://tvbox6.com/tv/bfgd.php?id=180
财富天下,http://tvbox6.com/tv/bfgd.php?id=231
四海钓鱼,http://tvbox6.com/tv/bfgd.php?id=229
风尚音乐,http://tvbox6.com/tv/bfgd.php?id=294
CETV3,http://tvbox6.com/tv//zb/bjcucc.php?id=29$北京联通组播


全国卫视,#genre#
