王二小🌟央卫QQ群197853033分享,#genre#
综艺,https://cc-im-kefu-cos.7moor-fs2.com/im/2768a390-5474-11ea-afc9-7b323e3e16c0/d4fe44c5-107c-4511-af02-aa08fb10dff7/2024-04-25/2024-04-25_17:22:21/1714036941087/98644330/wexiptv.txt
CCTV1,https://ldncctvwbndhwy.cntv.myhwcdn.cn/ldncctvwbnd/ldcctv1_2/index.m3u8
移动🌟央视QQ群197853033分享,#genre#
CCTV1高清,http://1b6467f415.iok.la:9931/tsfile/live/1020_1.m3u8
CCTV2高清,http://1b6467f415.iok.la:9931/tsfile/live/1021_1.m3u8
CCTV3高清,http://1b6467f415.iok.la:9931/tsfile/live/1022_1.m3u8
CCTV4高清,http://1b6467f415.iok.la:9931/tsfile/live/1023_1.m3u8
CCTV5高清,http://1b6467f415.iok.la:9931/tsfile/live/1024_1.m3u8
CCTV5+高清,http://1b6467f415.iok.la:9931/tsfile/live/1025_1.m3u8
CCTV6高清,http://1b6467f415.iok.la:9931/tsfile/live/1026_1.m3u8
CCTV7高清,http://1b6467f415.iok.la:9931/tsfile/live/1027_1.m3u8
CCTV8高清,http://1b6467f415.iok.la:9931/tsfile/live/1028_1.m3u8
CCTV9高清,http://1b6467f415.iok.la:9931/tsfile/live/1029_1.m3u8
CCTV10高清,http://1b6467f415.iok.la:9931/tsfile/live/1030_1.m3u8
CCTV11高清,http://1b6467f415.iok.la:9931/tsfile/live/1031_1.m3u8
CCTV12高清,http://1b6467f415.iok.la:9931/tsfile/live/1032_1.m3u8
CCTV13高清,http://1b6467f415.iok.la:9931/tsfile/live/1033_1.m3u8
CCTV14高清,http://1b6467f415.iok.la:9931/tsfile/live/1034_1.m3u8
CCTV-16高清,http://1b6467f415.iok.la:9931/tsfile/live/1094_1.m3u8
CCTV15高清,http://1b6467f415.iok.la:9931/tsfile/live/1035_1.m3u8
CCTV17高清,http://1b6467f415.iok.la:9931/tsfile/live/1130_1.m3u8
CCTV1-标清,http://124.116.183.146:9901/tsfile/live/0001_1.m3u8
CCTV2-标清,http://124.116.183.146:9901/tsfile/live/0002_1.m3u8
CCTV3-标清,http://124.116.183.146:9901/tsfile/live/0003_1.m3u8
CCTV4-标清,http://124.116.183.146:9901/tsfile/live/0004_1.m3u8
CCTV5-标清,http://124.116.183.146:9901/tsfile/live/0005_1.m3u8
CCTV6-标清,http://124.116.183.146:9901/tsfile/live/0006_1.m3u8
CCTV7-标清,http://124.116.183.146:9901/tsfile/live/0007_1.m3u8
CCTV8-标清,http://124.116.183.146:9901/tsfile/live/0008_1.m3u8
CCTV13-标清,http://124.116.183.146:9901/tsfile/live/0013_1.m3u8
CCTV14-标清,http://124.116.183.146:9901/tsfile/live/0014_1.m3u8
CCTV15-标清,http://124.116.183.146:9901/tsfile/live/0015_1.m3u8
CCTV-01,http://111.14.181.15:9901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-02,http://111.14.181.15:9901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-03,http://111.14.181.15:9901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-04,http://111.14.181.15:9901/tsfile/live/0004_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-05,http://111.14.181.15:9901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV5+,http://111.14.181.15:9901/tsfile/live/0016_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-06,http://111.14.181.15:9901/tsfile/live/0006_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-07,http://111.14.181.15:9901/tsfile/live/0007_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-08,http://111.14.181.15:9901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-09,http://111.14.181.15:9901/tsfile/live/0009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-10,http://111.14.181.15:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-11,http://111.14.181.15:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-12,http://111.14.181.15:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-13,http://111.14.181.15:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-14,http://111.14.181.15:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV-15,http://111.14.181.15:9901/tsfile/live/0015_1.m3u8?key=txiptv&playlive=1&authid=0
移动🌟卫视QQ群197853033分享,#genre#
湖南卫视,http://1b6467f415.iok.la:9931/tsfile/live/1058_1.m3u8
浙江卫视,http://1b6467f415.iok.la:9931/tsfile/live/1059_1.m3u8
江苏卫视,http://1b6467f415.iok.la:9931/tsfile/live/1060_1.m3u8
东方卫视,http://1b6467f415.iok.la:9931/tsfile/live/1061_1.m3u8
安徽卫视,http://1b6467f415.iok.la:9931/tsfile/live/1062_1.m3u8
北京卫视,http://1b6467f415.iok.la:9931/tsfile/live/1063_1.m3u8
天津卫视,http://1b6467f415.iok.la:9931/tsfile/live/1064_1.m3u8
