地方频道,#genre#
砚山电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel16/playlist.m3u8
砚山电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel16/playlist.m3u8?zyund
麻栗坡电视台,http://tvdrs.wsrtv.com.cn:8100/channellive/mlptv.flv
麻栗坡电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8
麻栗坡电视台,http://m3u8.channel.wsrtv.com.cn/cms/videos/nmip-media/channellive/channel18/playlist.m3u8?zyund
通州电视台,http://pull.dayuntongzhou.com/live/tztv.m3u8?zbeid
长白山电视台,http://stream8.jlntv.cn/cbstv/sd/live.m3u8
德惠综合,http://stream11.jlntv.cn/dehuitv/playlist.m3u8
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8
德惠综合,http://stream11.jlntv.cn/dehuitv/sd/live.m3u8?zjild
九台综合,http://stream10.jlntv.cn/jiutaitv/sd/live.m3u8
靖宇综合,http://stream8.jlntv.cn/jytv/playlist.m3u8
靖宇综合,http://stream8.jlntv.cn/jytv/sd/live.m3u8
敦化一套,http://stream8.jlntv.cn/dhtv/playlist.m3u8
龙井综合,http://stream8.jlntv.cn/ljtv/playlist.m3u8
龙井综合,http://stream8.jlntv.cn/ljtv/sd/live.m3u8
桦甸综合,http://stream10.jlntv.cn/huadian/playlist.m3u8
桦甸综合,http://stream10.jlntv.cn/huadian/sd/live.m3u8
磐石综合,http://stream5.jlntv.cn/ps/playlist.m3u8
磐石综合,http://stream5.jlntv.cn/ps/sd/live.m3u8
东丰综合,http://stream5.jlntv.cn/df/playlist.m3u8
东丰综合,http://stream5.jlntv.cn/df/sd/live.m3u8
双辽综合,http://stream5.jlntv.cn/sl/playlist.m3u8
双辽综合,http://stream5.jlntv.cn/sl/sd/live.m3u8
辉南新闻综合,http://stream5.jlntv.cn/hn/sd/live.m3u8
柳河综合,http://stream5.jlntv.cn/lh/playlist.m3u8
柳河综合,http://stream5.jlntv.cn/lh/sd/live.m3u8
通化县综合,http://stream5.jlntv.cn/thx/playlist.m3u8
汪清综合,http://stream5.jlntv.cn/wq/playlist.m3u8
汪清综合,http://stream5.jlntv.cn/wq/sd/live.m3u8
万源新闻综合,http://live.wanyuannews.com/wytv/hd/live.m3u8?zsicd
万源新闻综合,http://live.wanyuannews.com:80/wytv/hd/live.m3u8
乐至综合,http://175.155.106.72:89/live1/live1.m3u8?zsicd
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8
凉山新闻综合,http://file.yizu.tv/nmip-media/channellive/channel106606/playlist.m3u8?zsicd
凉山语,http://file.yizu.tv/nmip-media/channellive/channel107323/playlist.m3u8
凉山语,http://file.yizu.tv/nmip-media/channellive/channel107323/playlist.m3u8?zsicd
利州综合,http://tvfile.lzgbdst.com/nmip-media/channellive/channel106876/playlist.m3u8?zsicd
双流综合,http://171.221.250.130:18888/27e684978eb642eeb90ab815f6cc51bf/c41893de5e8645b3b43aef1640859b0d.m3u8?zsicd
叙州新闻综合,http://pili-live-hls.ybcxjd.com/jdh-live/2108111201035597.m3u8
四川科教,http://wouu.net:9977/udp/239.93.42.44:5140
四川科教,http://182.150.115.21:8030/pcgacg/pcgacg_0.m3u8
岳池新闻综合,http://liveyc.cmc.yuechirmt.cn:80/live/yctv.m3u8?auth_key=1714112398-0-0-d9a6bd74623c01c1c2f9576fe51e8b7b
广元公共,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel101257/playlist.m3u8
广元综合,https://m3u8.channel.dzsm.com/nmip-media/channellive/channel100999/playlist.m3u8
广安公共,http://live1.gatv.com.cn:85/live/GGPD.m3u8
广安公共,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8
广安公共,http://live1.gatv.com.cn:85/live/GGPD_ggpdzm.m3u8?zsicd
德阳公共,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8
德阳公共,http://scdytv.cn:1935/live/m_ggpd_livevideo/playlist.m3u8?zsicd
