💢央视,#genre#
中国天气央视频道,http://39.134.136.161:6610/000000001000/2000000002000000057/index.m3u8?livemode=1&stbId=10&channel-id=hnbblive&Contentid=2000000002000000057#http://php.jdshipin.com:8880/itv6.php?cid=hnbblive&id=2000000002000000057
中华美食央视频道,http://39.134.136.161:6610/000000001000/1000000005000266015/index.m3u8?livemode=1&stbId=10&channel-id=ystenlive&Contentid=1000000005000266015

健康名医养生频道,http://php.jdshipin.com/itv6.php?cid=bestzb&id=5000000011000288006

CCTV01综合频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226559/index.m3u8
CCTV02财经频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225588/index.m3u8
CCTV03综艺频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226021/index.m3u8
CCTV04中文国际,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226428/index.m3u8
CCTV06电影频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226010/index.m3u8
CCTV07国防军事,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225733/index.m3u8
CCTV08电视剧台,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226008/index.m3u8
CCTV09纪录频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225734/index.m3u8
CCTV10科教频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226473/index.m3u8
CCTV11戏曲频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226565/index.m3u8
CCTV12社会与法,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226568/index.m3u8
CCTV13新闻频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226537/index.m3u8
CCTV15音乐频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226476/index.m3u8
CCTV17农业农村,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225765/index.m3u8
CETV01教育频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225652/index.m3u8
CETV02教育频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226425/index.m3u8

CETV03教育无影,https://piccpndali.v.myalicdn.com/audio/cetv3_2.m3u8

CETV04教育频道,http://[2409:8087:1a01:df::7005]/ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225783/index.m3u8

CCTV1台4K高清,http://223.105.252.60/PLTV/4/224/3221228581/index.m3u8?servicetype=1$3840*2160
CCTV3台4K高清,http://223.105.252.59/PLTV/4/224/3221228499/index.m3u8?servicetype=1

央视4KUHD高清,http://[2409:8087:5e00:24::1e]:6060/200000001898/460000089800010006/1.m3u8

CTV4央视超高清,http://223.105.252.60/PLTV/4/224/3221228472/index.m3u8?servicetype=1
CTV8央视超高清,http://223.105.252.57/PLTV/3/224/3221228165/index.m3u8?servicetype=1

CGTN央视环球台,https://english-livetx.cgtn.com/hls/yypdjlctzb_hd.m3u8

CCTV-兵器 科技,http://221.232.59.72:4022/rtp/239.69.1.79:10114#http://119.98.162.246:4022/rtp/239.69.1.79:10114#http://dassby.qqff.top:99/live/兵器科技/index.m3u8
CCTV-风云 剧场,http://dassby.qqff.top:99/live/风云剧场/index.m3u8
CCTV-风云 音乐,http://221.232.59.72:4022/rtp/239.69.1.90:10180#http://119.98.162.246:4022/rtp/239.69.1.90:10180#http://dassby.qqff.top:99/live/风云音乐/index.m3u8
CCTV-怀旧 剧场,http://221.232.59.72:4022/rtp/239.69.1.89:10174#http://119.98.162.246:4022/rtp/239.69.1.89:10174#http://dassby.qqff.top:99/live/怀旧剧场/index.m3u8
