
公告,#genre#
QQ群1002177514
野火595接口,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c2j1oprc77u04674qfu0&ratio=720p&line=0
绝对免费,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c2j1oprc77u04674qfu0&ratio=720p&line=0 
切勿注入,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c2j1oprc77u04674qfu0&ratio=720p&line=0
开启IPV6功能,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c2j1oprc77u04674qfu0&ratio=720p&line=0
获取秒开流畅体验,https://www.iesdouyin.com/aweme/v1/playwm/?video_id=v0300fg10000c2j1oprc77u04674qfu0&ratio=720p&line=0


咪咕,#genre#

CCTV1综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv1
CCTV2财经,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv2
CCTV3综艺,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv3
CCTV4中文国际,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv4
CCTV4美洲,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv4a
CCTV4欧洲,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv4o
CCTV5体育,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv5
CCTV5+体育赛事,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv5p
CCTV6电影,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv6
CCTV7国防军事,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv7
CCTV8电视剧,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv8
CCTV9纪录,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv9
CCTV10科教,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv10
CCTV11戏曲,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv11
CCTV12社会与法,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv12
CCTV13新闻,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv13
CCTV14少儿,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv14
CCTV15音乐,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv15
CCTV17农业农村,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cctv17
CCTV发现之旅,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=fxzl
CCTV老故事,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=lgs
CCTV中学生,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=zxs
CGTN ,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cgtn
CGTN纪录,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cgtnjl
CCTV西班牙语,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cgtne
CCTV法语,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cgtnf
CCTV阿拉伯语,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cgtna
CCTV俄语,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cgtnr
CGTN英语,https://0472.org/hls/cgtn.m3u8
CGTN记录,https://0472.org/hls/cgtnd.m3u8
CGTN俄语,https://0472.org/hls/cgtne.m3u8
CGTN法语,https://0472.org/hls/cgtnf.m3u8
CGTN西语,https://0472.org/hls/cgtnx.m3u8
CGTN阿语,https://0472.org/hls/cgtna.m3u8
东方卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=dfws
重庆卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cqws
吉林卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jlws
辽宁卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=lnws
内蒙古卫视  ,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=nmws
宁夏卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=nxws
甘肃卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=gsws
青海卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=qhws
陕西卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=sxws
山东卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=sdws
河南卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hnws
湖北卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hubws
湖南卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hunws
江西卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jxws
江苏卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jsws
东南卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=dnws
海峡卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hxws
广东卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=gdws
大湾区卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=dwqws
广西卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=gxws
云南卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=ynws
贵州卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=gzws
新疆卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xjws
西藏卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xzws
海南卫视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hinws
四海钓鱼,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=shdy
CHC动作电影 ,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=chcdzdy
CHC家庭影院 ,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=chcjtdy
东方影视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=dfys
上海新闻综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=shxwzh
上海第一财,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=dycj
上视纪实人文,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=shjsrw
上海外语,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=shics
法治天地,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=fztd
劲爆体育,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jbty
魅力足球,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=mlzq
乐游,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=ly
欢笑剧场,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hxjc
七彩戏剧,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=qcxj
游戏风云,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=yxfy
临洮电视台,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=lttv
江苏城市,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jscs
江苏综艺,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jszy
江苏影视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jsys
江苏公共新闻,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jsggxw
江苏国际,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jsgj
江苏教育,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jsjy
江苏体育休闲,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jstyxx
优漫卡通,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=ymkt
南京新闻综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=njxwzh
南京教科,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=njkj
南京十八,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=njsb
淮安新闻综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=haxwzh
连云港新闻综合   ,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=lygxwzh
苏州新闻综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=szxwzh
泰州新闻综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=tzxwzh
宿迁新闻综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=sqxwzh
徐州新闻综合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xzxwzh
广东影视,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=gdys
嘉佳卡通,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jjkt
24小时亚洲杯频道,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=24hyzb
CBA经典,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=cbajd
掼蛋精英赛,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=gdjys
高清大片,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=gqdp
和平精英赛事,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hpjxss
红色轮播台,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=hslbt
经典动画大集合,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jddhdjh
经典深圳旁边电影,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jdxgdy
军事迷必看大片,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=jsdp
历届春晚回顾,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=ljcwhg
咪咕24小时体育台,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=mg24hty
玫瑰轮播台,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=mglbt
NBA经典 ,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=nbajd
欧洲足球风云,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=ozzqfy
全民乒乓,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=qmpp
热剧联播,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=rjlb
赛事最经典,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=sszjd
体坛名栏汇,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=ttmlh
UFC格斗精选 ,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=ufcgdjx
五大联赛经典,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=wdlsjd
乡村振兴,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xczx
幸福中国年,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xfzgn
新片放映厅,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=xpfyt
英雄联盟赛事,http://150.158.112.123/公众号~QQ群1002177514/mg.php?id=yxlmss
